path,filename,modified,size,sha256,root
.,19920619_222217.Id_377191.dll,1992-06-19 15:22:17,574.0KB,2535131b1deb883e1552f410fb2861e58fc8550ee898855fc36809a3cccd6a3a,TIS
.,19920619_222217.Id_386446.dll,1992-06-19 15:22:17,605.0KB,0622d5bff53012fdd29d97eec6888db06b253e3369f8461fe84a89da9a66d6dc,TIS
.,19920619_222217.Id_386667.dll,1992-06-19 15:22:17,55.0KB,988e3fc7063ca494e9a6a91cf1f9bcc36e49d1d53a1ff700b84be5b3d40cc5fc,TIS
.,19920619_222217.Id_401096.dll,1992-06-19 15:22:17,652.5KB,e909897657fb5207e8cff0f23847393d583155f898c288c98d574c20803cf46e,TIS
.,19920619_222217.Id_401163.dll,1992-06-19 15:22:17,55.0KB,59e98d1560de3d048428e75c6d4e709d5ea7df128963eea2624064fe27ecfc5f,TIS
.,ISAPITER.DLL,1992-06-19 15:22:17,73.5KB,fa597b597800c68e8b5876d29688d66d5b3d967b1ebf43c86a2f5065a46710c2,TIS
.,ISAPITER.Id_377223.DLL,1992-06-19 15:22:17,74.0KB,b87d1fa735328de3bf500aedf72d69b8f3298afb7816d72e009f264d50062655,TIS
.,ISAPITER.Id_377225.DLL,1992-06-19 15:22:17,74.0KB,65cf45bdc6b7dabdb7b2a12109c87ae14e269caeace616d66530bfd903a5bf89,TIS
.,ISAPITER.Id_377227.DLL,1992-06-19 15:22:17,74.0KB,e7c02618be608a1445d3a5de32fef6e2addb729c6d610f943253cafc16bd5e65,TIS
.,ISAPITER.Id_386530.DLL,1992-06-19 15:22:17,151.5KB,2f0f6f200a7797c01c91c61c731c8da8d74907d19424f3846459413ce97248c1,TIS
.,ISAPITER.Id_386533.DLL,1992-06-19 15:22:17,151.5KB,b17d3567a89ba5a1033fc1a16deb90a0cf5b2ada46493106856978e3316a7bb0,TIS
.,ISAPITER.Id_386537.DLL,1992-06-19 15:22:17,151.5KB,12f8bb446bc5239ab44725c0706185f968a185156b63b83379f1714bc6730548,TIS
.,ISAPITER.Id_386540.DLL,1992-06-19 15:22:17,151.5KB,c14e5f9d7174065dcffd2a727ccb5474e97b26328fca232ce31b23b628e6b164,TIS
.,ISAPITER.Id_401116.DLL,1992-06-19 15:22:17,140.0KB,89c3a2940be8e555d385bd4bbbe9fe54e39062e6ea2bf34659e1135825e5b792,TIS
.,ISAPITER.Id_401125.DLL,1992-06-19 15:22:17,140.0KB,6e2c301b1d34f1f15a5cfeb72c80cc9e99dbb0f66091b9213223e3fc413504dd,TIS
.,ISAPITER.Id_401128.DLL,1992-06-19 15:22:17,140.0KB,29e88829050bc88211342ef3544c18f1a55805ce01f2ec365861c56133889934,TIS
.,ISAPITER.Id_401131.DLL,1992-06-19 15:22:17,140.0KB,eb845cad9df0c2ac4a5f123399357a40347888580f6457656541f843b18465f2,TIS
