path,filename,modified,size,sha256,root
.,0011507.txt,2020-08-08 14:58:59.999357,16.0KB,444f39db797e9c17baf2bb0d8a0b29a0200efcd5b700b1823ae335d3392e7f22,AGB
.,0011508.txt,2020-08-08 14:59:00.006357,11.0KB,18624776f6fe392f1043a8b9e3e8dbd2f7def55c73833962b3bdd20dcd503e6e,AGB
.,0045031.txt,2020-08-08 15:03:14.630994,28.0KB,c1b1dff8aa559533e784205145207e41c02dd1c2ea48bf0d2bfc62426e2ed54d,AGB
.,0045142.txt,2020-08-08 15:03:15.385145,48.04KB,dc6ff64c51c635fa75cd9277a7f13c6ad00468858a4a4b3f95ac85610fa32cde,AGB
.,0046262.txt,2020-08-08 15:03:23.451006,1028.49KB,b1e9aa0fa07b8d2e16ef1a0f12df7c67a6b1a9bf0509d83f8fce8a52b38e76e0,AGB
.,0066992.txt,2020-08-08 15:05:49.506535,672.0KB,cd1c3a5a5be308b70db6b0d4dc0699f67685c68f5cd08f9570073f7a9fa0e057,AGB
.,0066998.txt,2020-08-08 15:05:49.597543,2955.0KB,d4895a70b99887a13f01d9e7510a3ac29f246b630a3ed5e43ab7207d9760c6b3,AGB
.,0067000.txt,2020-08-08 15:05:49.624117,750.0KB,17e6eba6b8d209e2e918e24ece0dfce29413f88faa5893085ee564a207676559,AGB
.,0067002.txt,2020-08-08 15:05:49.724005,4096.0KB,9f6fc522a75e3d2042946090b213cfd96fce74ab5a42cc435b83690d379f6bf8,AGB
.,0067003.txt,2020-08-08 15:05:49.778167,4096.0KB,7ff4f4daddacf598e3a976a539a270e7c3a8e83757c1a53142a7dac9c083f0b8,AGB
.,0067004.txt,2020-08-08 15:05:49.785199,620.0KB,9ad36b81c87188bee0ec37c2da344c8b732882f23147c7ee9326260898dca3e2,AGB
.,0069553.txt,2020-08-08 15:06:07.153849,1253.5KB,8d2a2d630799656645ff02a306d49fe4f3269e6e91437afd8826866b5b6616f6,AGB
.,0069555.txt,2020-08-08 15:06:07.241205,4096.0KB,6dbad2b95fd1334d5106e26a2f226e874c0a83ff65f0abbeec7d17bfb4921366,AGB
.,0069556.txt,2020-08-08 15:06:07.280764,4096.0KB,704cbe9dd6f47a78a3e29a72618428102c0fb7a959ed9cd2c3a15bb38970e814,AGB
.,0069557.txt,2020-08-08 15:06:07.312303,4096.0KB,ea2693bd186e1e6156317ba8fdedca1993e8342b1983f0990142d1193f077d75,AGB
.,0069558.txt,2020-08-08 15:06:07.348948,4096.0KB,9cf7ba4290fdb1c9788c058635d4dca07537b99e0f573f164871afb39edc9e3f,AGB
.,0069559.txt,2020-08-08 15:06:07.372614,3160.0KB,42b45f3f5f1774235bd4271b779e955743a7b1da59bc00a3193b21a0668bec0c,AGB
.,0069632.txt,2020-08-08 15:06:07.830763,786.0KB,9d7c47f029365b62aadf7323002bb8992e251334830b7fc1a8197b5dca813bbb,AGB
.,0069634.txt,2020-08-08 15:06:07.890651,4096.0KB,6364826e2ba6e40e1ebfe9023a5bd44719d6129d8cc4a165a8b3fb3b6fac53cf,AGB
.,0069635.txt,2020-08-08 15:06:07.913562,2832.06KB,6210839a72400a044e25b5a4cd85c9edbf0c22fbcf91d68aa9ea880dca25e350,AGB
.,0069636.txt,2020-08-08 15:06:07.940696,1264.0KB,d62dfa6520658e608c205436045e1a2d5e93a0f54c5012fab6b89713d25adf46,AGB
.,0069640.txt,2020-08-08 15:06:07.987470,728.0KB,c8b09935eb466e291c1fa000472f7fe37659f99d8b24dbda6d1042cc12de4d73,AGB
.,0069642.txt,2020-08-08 15:06:08.050867,4096.0KB,ca20794919ac89f9fb1836b7c0b706db5cd9cb38995ef0729f9a41ef616a5ae8,AGB
.,0069643.txt,2020-08-08 15:06:08.087769,4096.0KB,9c7b771da13f492342e2ad21e2af14ac4cdd1f864d602cb31793a7f1799b4e74,AGB
.,0069644.txt,2020-08-08 15:06:08.118567,4096.0KB,69e98e092b17f3e289ae4714b6073024f168781a5e2289d04337460123174f49,AGB
.,0069645.txt,2020-08-08 15:06:08.146094,3962.0KB,2e2f504fa75977e022301cd8ac3efb684acae2d812b7e6ff34a7ecffc37d9987,AGB
.,0069647.txt,2020-08-08 15:06:08.173361,2390.0KB,c2f8b9bd7637aa3913db617d638ed11c1b70c37b81841ed48fa2226ea21fa6bc,AGB
.,0069651.txt,2020-08-08 15:06:08.203516,816.5KB,0e7b6baefece2ccb4451d3ab29947487bcba750c0b2da09d9a9107abe3078cc6,AGB
.,0069653.txt,2020-08-08 15:06:08.261378,4096.0KB,76be3e8b6d740ac06df53d8b1f1df9e1ffb2e4b68df8633a2a4a3fe772ebc41b,AGB
.,0069654.txt,2020-08-08 15:06:08.316099,4096.0KB,154a1aa4b275ce0e1d41e3559709226165e5544f217ded959a27387600f589c4,AGB
.,0069655.txt,2020-08-08 15:06:08.326359,1822.0KB,883edd4bb483ce0e43bedecdb831759f8dc00da4ed56752469b94b2783620d0f,AGB
.,0069657.txt,2020-08-08 15:06:08.349649,740.0KB,9c1d24764390db86c6d7fd23564e6b369367af9869dfe691c4a976f2ffef27be,AGB
.,0069662.txt,2020-08-08 15:06:08.422810,3384.0KB,2a5430578ff1a8fb384f1fd7f7cd5aef8ceaa53ef9a2520a1e2f28a40beef854,AGB
.,0069663.txt,2020-08-08 15:06:08.729658,2660.5KB,cc22ac563a6ab2fbc2c711606842437e4974a7684036fc4703444bc8d0ae39b6,AGB
