path,filename,modified,size,sha256,root
.,0004924.txt,2020-08-08 14:58:09.519996,13.06KB,8290a19a8a2fb70a95aeb4650cc85a46660fa624b7110abd0f130b69b9781cc8,DOL
.,0004925.txt,2020-08-08 14:58:09.525995,13.5KB,a910142d209b1ee807ec1a869444f4339e90fd4b1af54800ed363cbc5925eed6,DOL
.,0004926.txt,2020-08-08 14:58:09.532996,13.06KB,b841b2274eb45b3ebab493f4cd7461c8e9fb87776b3d9cffa2cd6a161f2c4e40,DOL
.,0004927.txt,2020-08-08 14:58:09.539995,13.05KB,b59bd47fb671307cdc4e4324589480a1bc42b6b182963462bc43ef61f08eb90c,DOL
.,0004928.txt,2020-08-08 14:58:09.566994,13.62KB,2b508dc6938cfe6394ab268997efee5dd37622d060ba0515185ef7243da21f11,DOL
.,0004929.txt,2020-08-08 14:58:09.573996,13.3KB,2940720faa6c3d2aa7e1369181c09c08761ff3684beb173eb8816c87a0bfd910,DOL
.,0004930.txt,2020-08-08 14:58:09.579995,13.44KB,3f5b30397913f3a6e4aaa9e44430298e840bf019352a1822daa4eb7f711ec502,DOL
.,0004931.txt,2020-08-08 14:58:09.586996,13.04KB,98dd936626849c20cbcde39570e34eff09bfbf4525f8925e2daaa6f555c72bf8,DOL
.,0004932.txt,2020-08-08 14:58:09.593996,13.44KB,544c30f06ba341239d97cc7c621666724eea534ca94e7de1becde552fcd14376,DOL
.,0004933.txt,2020-08-08 14:58:09.599995,12.42KB,56510eef0f8254b4613a1deedb812638f0b90600fc6b654fff9ed249593fc8b7,DOL
.,0004934.txt,2020-08-08 14:58:09.606996,12.76KB,285f605e33dc658015df0f22bc226863774b5f1dc40e1b3309c8f52d004a3c57,DOL
.,0004935.txt,2020-08-08 14:58:09.613995,13.31KB,1ac02c27169b99dcc2a8d3f4a524a952a16cfd66f09709d2003e2f062d14fdef,DOL
.,0004936.txt,2020-08-08 14:58:09.619995,13.3KB,95f6861334dda3b0847452c625580365af4bd2d1aa301ea7929785bac455a46f,DOL
.,0004937.txt,2020-08-08 14:58:09.626996,12.02KB,de21f31cc564e411cfd7a179da84ecb03d4e2ae6c247c9b93843cbdbdd01479e,DOL
.,0004938.txt,2020-08-08 14:58:09.633996,34.0KB,e0655ab7eba1a8d099062ab915b5aacc2b554deed041c1856f12b1618560a216,DOL
