path,filename,modified,size,sha256,root
.,0318450.txt,2020-08-08 15:37:24.248682,24.51KB,28e39c20f3cf53216cc26580df14903c830c79645644706670e0e79245979256,GAMECUBE
.,0318457.txt,2020-08-08 15:37:24.296684,15.56KB,6c25d821fee2cb2e801e043c4008a5743b36d59a8350e0884ab3b068c5825ba8,GAMECUBE
.,0318753.txt,2020-08-08 15:37:26.479118,48.0KB,f0c35ba09789b11e6e07f4bb53e17aba594b5bcc6c24cae8d994a18477b03317,GAMECUBE
.,0318761.txt,2020-08-08 15:37:26.536118,26.2KB,424cbfaea3a4634719c190e2f57505613a07a26df6958331762da3701a923b04,GAMECUBE
.,0318764.txt,2020-08-08 15:37:26.564116,48.0KB,aed2e8595e67b89956414d58b6832aff6c70a189df040531f1fa54eb7dd5d33f,GAMECUBE
.,0318770.txt,2020-08-08 15:37:26.607118,30.43KB,12b022d6aeef01dcd068a4ca1c45266230646a01ccf982d43c9dbbf5d765efad,GAMECUBE
.,0318791.txt,2020-08-08 15:37:26.787117,43.46KB,66d65a622cc8e0bdc0895b105566eaea562b4ec41bf6ab3141aa5d78cbba7a68,GAMECUBE
.,0318794.txt,2020-08-08 15:37:26.809118,34.24KB,b83b28eef7d877d2ac6c6fdff57debc2c7e48426ccaaf4fdb5219f8a3052b6a2,GAMECUBE
.,0318795.txt,2020-08-08 15:37:26.817117,33.95KB,8516ec26ed5260a21b451733d552788043c63484b0953a167a75a150c2f48f1a,GAMECUBE
.,0319611.txt,2020-08-08 15:37:32.880265,8.13KB,2ddeddf2d11d34d4b3e929acff92dec3b819ff6dae14a064e50108a9551e4335,GAMECUBE
.,0319707.txt,2020-08-08 15:37:33.549427,0.46KB,656cd78ea47fb40dc692e4d28ce01d5cc5f64f5aa7ccc61f2b21d1e86f118cdd,GAMECUBE
.,f84182775.txt,2020-08-07 23:02:40.304189,48.0KB,da0417b9020d5b58fb3af159a727a422960fefccb3beb042e655bb550c1cbb12,GAMECUBE
.,f84183487.txt,2020-08-07 23:02:40.310189,48.0KB,2dd7271c6b9182ef4df828c0e7c5df10707cc394bec6694dbf31bb04da0643be,GAMECUBE
