path,filename,modified,size,sha256,root
.,0001106.txt,2020-08-08 14:57:38.752978,23.97KB,f36f24811b72b1ee3987e8509a8049dde2b1b38aa1269c89a0d083fd0a1fcb01,GCT
.,0001176.txt,2020-08-08 14:57:39.220976,16.17KB,486d9a0b1d8d244fc40c1c15e5d9761294547af5f3fb56ac1fe75ee5c4d6ecf8,GCT
.,0003278.txt,2020-08-08 14:57:54.985057,21.77KB,21f45d068dabc7575fceaa106bc316104e987d9e1d26a800039d54c317d6b2df,GCT
.,0003317.txt,2020-08-08 14:57:55.248056,73.78KB,53cf617074ac8f243d832737df577a6fe6aec8a75a3084737d7d1e400ac622fa,GCT
.,0011415.txt,2020-08-08 14:58:59.103861,3.99KB,fe3a8e404512fc0b522883474f8d4220f77a38515041c57371b2de03515c889a,GCT
.,0013865.txt,2020-08-08 14:59:17.772643,362.31KB,c6fcc22dcdfabceb7ccb296e34f0c2838b6aa35eb60349a0518d29dff152a45e,GCT
.,0049703.txt,2020-08-08 15:03:47.963513,5.77KB,8955bdc0534062a254f1526452c395da4fc6757dc7f28137fed13f57ee37e367,GCT
.,0081943.txt,2020-08-08 15:07:42.472439,12.0KB,cd4c3e13a18e92976f47ca7bba0cf156e19c81f8e9b01b6a894f5a1667a9c727,GCT
.,0082027.txt,2020-08-08 15:07:43.913235,48.0KB,e758d777d0b521346635757f60770379bbb4c8aacef83e206e845b47f0a5eaac,GCT
.,0082039.txt,2020-08-08 15:07:45.180083,60.0KB,8fcc6ea7de434f2b9ff2849bde8b9b070d7b8ed7277c5ebd8e7a983d228d56e5,GCT
.,0082053.txt,2020-08-08 15:07:45.471294,88.0KB,4e12debd49e5dbea50a3fb538e2855ed79241a8cacb2fb0bebc4eb619f991cc9,GCT
.,0084322.txt,2020-08-08 15:08:23.901893,60.83KB,19741b3bcdb00678e72761354c68cd5d011bb045b48139bfb74693e3f44f8ffa,GCT
.,0130912.txt,2020-08-08 15:15:17.096836,31.64KB,53c6a3c94a33f99319abb5af5437b04cd4434d0ccfffbc0341070cfa947f73d4,GCT
.,0130913.txt,2020-08-08 15:15:17.102837,21.67KB,2203a86a467409d398141ee6de9037e50154f64d2dbe87c963c1cceaa2bdd3aa,GCT
.,0130914.txt,2020-08-08 15:15:17.109836,26.62KB,8c2f7772cb2c62937b64e1f53ff2762b8566356369a229401212d69c2711dcc4,GCT
.,0130915.txt,2020-08-08 15:15:17.116837,28.34KB,ad25cfeb1177ff3fb76c55a759c022e4bab39874a21c63490c616cf45d250961,GCT
.,0130916.txt,2020-08-08 15:15:17.122836,35.35KB,470b173c05b4c2ad750b456bf37280d0732ce8625a29036576d3b3084877d61c,GCT
.,0130917.txt,2020-08-08 15:15:17.129836,21.97KB,26e7ac022d5465c250a393c99c2f415284881072ea69cb4f9a52dab63bb35c93,GCT
.,0130919.txt,2020-08-08 15:15:17.143836,26.31KB,3708a916e192f1849d0691349d5e1bccbcd3445feff468a2a375a7a36ae2703b,GCT
.,0130923.txt,2020-08-08 15:15:17.169836,30.42KB,792336102965461d4e1ada8b84c5b2ddca50a75cabdab8b6504ed46777189714,GCT
.,0130924.txt,2020-08-08 15:15:17.176836,18.55KB,f33fc9ebb1f31a4e9654d4efca6f814cdc897c576b81e06aa8252581494e2d63,GCT
.,0130929.txt,2020-08-08 15:15:17.210836,14.08KB,9c2c004e3f55d1033b3947e24ea780915cf2146dd318b0f83fc18aea1fbc92be,GCT
.,0314025.txt,2020-08-08 15:36:51.635807,17.36KB,50274fade7b7400be1fe4d7cfac789cb865bf19c70ed749cc460d82ce9eab337,GCT
.,0314054.txt,2020-08-08 15:36:51.830809,20.07KB,5e21a109c4c680f04d02dd56a56745628c16b2bfab01293e5083b9a531fc91ce,GCT
.,0314106.txt,2020-08-08 15:36:52.199808,73.01KB,2b5d4844742406b9fbb80d65920be63df9276b5ab8dda4abdd30f06d40600929,GCT
