path,filename,modified,size,sha256,root
.,0001009.txt,2020-08-08 14:57:38.109824,6.13KB,3204702498f5b0f40d1d66ad7185a7e94c9b91afc8818bb75ab5107e0be3f995,Gemtek
.,0004032.txt,2020-08-08 14:58:01.652951,159.99KB,f09a6fe1a6ccd83e1b1513de260087797e287e214df04b3f80f7931a5c517d1c,Gemtek
.,0004039.txt,2020-08-08 14:58:01.702952,236.29KB,9b5be87abdd7019400a346e537d83363ecf8227fdfd4a6009cbec27eb01e54cc,Gemtek
.,0004049.txt,2020-08-08 14:58:01.801951,386.1KB,382e5573fdf1421295455d2ce02cc66d21edd4a6d04b3062d9920f0a66f92594,Gemtek
.,0004148.txt,2020-08-08 14:58:02.791117,48.03KB,3e8ce1572561520478aeacfbf97e9c8f704b4121a97d1687dd45bb97a601f44e,Gemtek
.,0004539.txt,2020-08-08 14:58:05.871015,48.03KB,448cf0131a67d13a24ea5c172ac3573502e51542818a9a203f8726ade9fb892f,Gemtek
.,0004575.txt,2020-08-08 14:58:06.202494,160.47KB,409adda6b5abc13417f26d7f956f55e534a9e158226565a702aa36a0513cd06f,Gemtek
.,0004579.txt,2020-08-08 14:58:06.231494,236.47KB,4946982c626fca52317c7d45e0aadfb6a6b5cc8a30db43aaa548b88878566a30,Gemtek
.,0004600.txt,2020-08-08 14:58:06.439625,406.05KB,31eff4f4c7e145b2972e9127e4439393412e203ca06a1d83869690bec3ab624b,Gemtek
.,0018045.txt,2020-08-08 14:59:47.835903,46.61KB,2042e6a533ff4f17bf9b82d1af69925b62974f510112063807ea63564e498f51,Gemtek
.,0022238.txt,2020-08-08 15:00:18.721715,352.83KB,7a99862a6b18920eab867ff4896b5d406e5cf4af2780fa40da7b7306edbe4aff,Gemtek
.,0028820.txt,2020-08-08 15:01:07.149049,70.76KB,3420b0285e7276a1da9326d1899e05512eeaccd0907908a83405cba0c16b4da3,Gemtek
.,0030153.txt,2020-08-08 15:01:16.914194,48.03KB,a0ee70109c0a641a28984456149d174d2ea042163801a3c1915c3ef2234b6e31,Gemtek
.,0030154.txt,2020-08-08 15:01:16.921194,28.78KB,c5a62e3d06fc984c1ba922e80acdf3256f42a2ff9daf9d47bdc78253b8ce884a,Gemtek
.,0052811.txt,2020-08-08 15:04:10.390302,13.12KB,f79df3d25fae8796f519741a77109bafaf393ec5190baffef6e504d4c96f196a,Gemtek
.,0058013.txt,2020-08-08 15:04:47.074679,17.76KB,6e732d29ed181d8384d91947919b931280517eeb4aa2367c42259933fef6666a,Gemtek
.,0058022.txt,2020-08-08 15:04:47.131679,0.18KB,4f0c3265fc41a93e6368ad35d0f3e4a1828f8a95fce1e5bf930c76a46b84f79b,Gemtek
.,0058046.txt,2020-08-08 15:04:47.284679,12.0KB,1644ec8f4f566b83a199b44160bf32586686dbdb9572c36444316a8ce2fed380,Gemtek
.,0058047.txt,2020-08-08 15:04:47.290679,5.81KB,fd7a672937260173ab9938cc8b9b114851139c76a6ac507375d70e2d9cc1628c,Gemtek
.,0058056.txt,2020-08-08 15:04:47.349679,0.2KB,329c4b32a36d1344bb8fd15ee005ebf2ea5bf26c97186f4faddcc768b1b42134,Gemtek
.,0075767.txt,2020-08-08 15:06:55.046544,13.7KB,542c4fbe9c0dbc889054057120f11235a182a05cb6a960f200d0e78823b3422a,Gemtek
.,0075768.txt,2020-08-08 15:06:55.052543,0.84KB,45ec9d89bc090c850f1c8a9fea8ed5e70f12fa7fbab580334701dba84faf297c,Gemtek
.,0079008.txt,2020-08-08 15:07:18.544064,48.03KB,b43a252e91584e1b74747abe68d23694797dcae14dccd7dd0082b922c38c2663,Gemtek
.,0079009.txt,2020-08-08 15:07:18.551052,28.8KB,114f58410e8d2be2aa30b0ab4a9dd3d3be6115be4a0cff5054fdaad34fab5583,Gemtek
.,0079016.txt,2020-08-08 15:07:18.617065,70.77KB,a62ba83dec5f0c50b38012f776517f5f7618c0fdd9648344599637b4379e77fb,Gemtek
.,0089658.txt,2020-08-08 15:09:47.089354,4.05KB,2b5474f4dc37a8d73bfecfb9da88573c71c2124fe258add5c1b8966fab7af263,Gemtek
.,0090274.txt,2020-08-08 15:09:51.128014,352.72KB,7ef852642581bafac0784c2b3242b5f0f87f987c5530781d41bbebc92d3158c2,Gemtek
