path,filename,modified,size,sha256,root
.,0379675.txt,2020-08-08 15:51:18.665323,34.5KB,d7a8fa82e8a5abf1456bab160342e8d438a90002b61ef5d0bb789345780dad0c,Gerbers
.,0379685.txt,2020-08-08 15:51:18.734322,5.5KB,d41cacaaee52577dcb8ddbd3b528ce56245632e98b6ba2e6b82a523bdcd3d75d,Gerbers
.,0379693.txt,2020-08-08 15:51:18.789323,25.0KB,f2e55871d5d4e634ebebd786320db42cf8be72ebde1c205a9f03de7c6fc52a6b,Gerbers
.,0388653.txt,2020-08-08 15:52:34.667681,41.76KB,a45c41a3dc318c8a0f87ac01d709c6871fb91e6147e0955b629811fe5802fb9a,Gerbers
.,0397511.txt,2020-08-08 15:54:02.258392,17.23KB,c79034faaa7232a9a7553924f99d17ed852535f1f2c80c7cf0c31675cd8b17a9,Gerbers
.,0398535.txt,2020-08-08 15:54:11.764866,104.39KB,caae9a74d0177c839c38a972e5b5ec920437f6161b15521c486bcb02e9c3c896,Gerbers
.,0398617.txt,2020-08-08 15:54:12.912330,161.9KB,0279e4a8ec996c8d6eb59c8a8f34fb0b8a820e79de05a3cd4dfb2893830b7a51,Gerbers
.,0398735.txt,2020-08-08 15:54:13.957375,148.96KB,0d2047bb91b6db700097f1a1e398d822d2c4b5ea287d72207cc3e6bc6ec74209,Gerbers
.,0398849.txt,2020-08-08 15:54:15.199883,173.04KB,e17f9db5cd6478c9d158ffa39e7fa892c0358495f79977d8c94fb8be9b6c02e8,Gerbers
.,0398930.txt,2020-08-08 15:54:16.126133,20.39KB,d854361da7412955108113b7827fd990be002dc4188100fb29003b0098db352e,Gerbers
.,0398948.txt,2020-08-08 15:54:16.393060,205.9KB,6d25bd7e12ebfeb1cbd4d6cf778a8ddde3fe67b6eda1face0add58cbe0d6f5f3,Gerbers
.,0398959.txt,2020-08-08 15:54:16.469640,180.6KB,6eb8bd3b024caaf7a0795e4b16861c7d6056177fbf4c7596ee4641962fd0cd55,Gerbers
