path,filename,modified,size,sha256,root
任天堂,0747739.txt,2020-08-08 16:43:46.187878,2146.0KB,138a6a42c123236d94f215e8e242c74939c55b901868487b43be3c2280e207fc,Japanese
任天堂\Nintendo,0380346.txt,2020-08-08 15:51:24.222192,67.06KB,633c28b939a2bca960d543c5eaf6e0783fcc857b4f193f170d5b08983f4963fc,Japanese
任天堂\Nintendo,0380349.txt,2020-08-08 15:51:24.243193,67.06KB,a8fe249b39bdb083a177a918e8d4c0c950c7f8336bd11ba4b6efa0ae63f351c3,Japanese
任天堂\Nintendo,0380484.txt,2020-08-08 15:51:25.302438,76.83KB,70841246a285254bee21830a9e825c816923a6128838d5f783219fcf4e30c649,Japanese
任天堂\Nintendo,0380640.txt,2020-08-08 15:51:26.427867,468.98KB,af06d0e122f959f5424c4d1f396c5bbad510af574443a6a0bf8765040cc1f6ca,Japanese
任天堂\Nintendo,0380666.txt,2020-08-08 15:51:26.644864,81.24KB,1450f2eb50aa770ff089df3af8b1f277a482bfbb143b9450e9a4b1911556886e,Japanese
任天堂\Nintendo,0380872.txt,2020-08-08 15:51:28.259912,99.64KB,9109bc03e9f354e98f40ce6c3ecf9de4fa9758d39ed07946887cf6ad169eda9e,Japanese
任天堂\Nintendo,0381204.txt,2020-08-08 15:51:30.883434,101.38KB,4342b96cc1fa9cb39e6cb16bcbb43eb20cb8ca491519a8acf4ac2fd50b2837f9,Japanese
任天堂\Nintendo,0381227.txt,2020-08-08 15:51:31.071433,101.38KB,6d84d699a460e736d320e6b0cfcebc65b3e5dedc2f80619b71dd67ece9e6b4a2,Japanese
任天堂\Nintendo,0381483.txt,2020-08-08 15:51:33.330666,107.78KB,4389d0cd5d732cbb3675de0764e0b94229819a6fdcadd7eb29e955cfef95d9fc,Japanese
任天堂\Nintendo,0381496.txt,2020-08-08 15:51:33.457846,269.05KB,b766c30242476515cc58815891e73a077b0a3c2184b305a31e089249e8a9ca87,Japanese
任天堂\Nintendo,0381771.txt,2020-08-08 15:51:35.974669,109.44KB,50cb00cfbc51d05ec354cef93f69f0d32cf68781a4411a9c0d80eb9e43262b07,Japanese
任天堂\Nintendo,0381788.txt,2020-08-08 15:51:36.129669,109.45KB,493d7db0fee683b30b6776b2b6a811f5bc5674376472fab4b67e184427e019d8,Japanese
任天堂\Nintendo,0382037.txt,2020-08-08 15:51:38.012006,115.31KB,894dd5ea62a0af615fac717352bffd2572674c4704732908eda55881514db9a5,Japanese
任天堂\Nintendo,0382050.txt,2020-08-08 15:51:38.105007,115.31KB,1557c80a6310282b7b1325c8b86dde531680bddf1fb06b62d624b7571e81e1a6,Japanese
任天堂\Nintendo,0382367.txt,2020-08-08 15:51:40.674390,116.93KB,76c26ea783cb09067c263c9da646a36a90e281fb58c9b7ab561616ccc960de31,Japanese
任天堂\Nintendo,0382385.txt,2020-08-08 15:51:40.809390,116.92KB,0d6d75c4c7d7aedd80633ba8568f860763e88d7a4803241c0e8376078530c957,Japanese
任天堂\Nintendo,0389461.txt,2020-08-08 15:52:54.055512,76.86KB,7fc759a8ee7a880e625e88dca7a54183ba6c7c2344e51da17a07c4941bd1cf9e,Japanese
任天堂\Nintendo,f296084927.txt,2020-08-07 23:30:12.290648,0.45KB,ad936a350c82c6b612f4e6ba2fa4d658932afc4f94809acb2fef884259ced077,Japanese
任天堂\Nintendo,f296093079.txt,2020-08-07 23:30:12.310745,0.41KB,0235c139e2c8fe1eedf52f3797d1e9026eb38cf97e45ef29c2d5bbfc1a17edd6,Japanese
任天堂\Nintendo,f296113207.txt,2020-08-07 23:30:12.393797,0.66KB,243d838b237578202a7e13983f27898bdc492d48ee011abd9079fd16fa9bc972,Japanese
任天堂株式会社,0408949.txt,2020-08-08 15:55:47.886242,27.44KB,05209b59db0d8aa919797510873a83dc27d974288bcf04924149f877536b49f5,Japanese
