path,filename,modified,size,sha256,root
.,0015257.txt,2020-08-08 14:59:27.773072,1.57KB,4c6c3314ff7e70f6c93060049c42d8b111e1edd7f6d3e35dc34b62fc01eb8b95,MGB
.,0081949.txt,2020-08-08 15:07:42.556001,32.0KB,c1e513266783b3c54b87e26fb0b13fd602e62a6b801ee6e3deb1484d57c63dae,MGB
.,0377192.txt,2020-08-08 15:50:54.746006,68.14KB,64eecde0de7889b0cba8f18fd93cd426041573507af432c49f480bad1a53e6dd,MGB
.,0377473.txt,2020-08-08 15:50:57.762761,68.22KB,e9177df3eb6427e9b90e62c2253e7b91cbd399e2149c10e1e09b5e0a35156907,MGB
.,0429869.txt,2020-08-08 15:58:24.426554,10.12KB,e28966839eb5e263464c64056ab036898fa84ce3f8916d680ebe09aefb639c2e,MGB
.,0559878.txt,2020-08-08 16:15:01.424533,10.88KB,db54a93024d5395c1b421ce4e2f7b25d025b07300f4afd97b59b758fd5644fb7,MGB
.,0583829.txt,2020-08-08 16:19:21.408711,2.73KB,c3bb93fae80da6f76877508dc0da6169516fd6d9b556b5c141b35d4bac6a371d,MGB
.,0583849.txt,2020-08-08 16:19:21.621815,2.2KB,362c57f400414fb4524da9cbaac14bc7ac946f37a7e6570856680d1dfe97f107,MGB
.,0586538.txt,2020-08-08 16:20:43.833477,20.0KB,f74944a20394d9cfdc648bcc1b9d2e9d5c4fc5a737e41b380e6e0e0e50f07405,MGB
.,0586540.txt,2020-08-08 16:20:43.846477,30.0KB,5b5798e73c6526eed7eb1fa866d8ca112d067a1c141bf5947616031deb750a0c,MGB
