path,filename,modified,size,sha256,root
.,0001053.txt,2020-08-08 14:57:38.401976,2.97KB,85116b1bc01e3568c66e540a0a3dee494d39379e81988aaf7c8810081e95ba34,MIN
.,0001054.txt,2020-08-08 14:57:38.408976,0.98KB,2457a22d4640c728f97785e1d2d9e45cdef6fd0cb234141a18b7cf94578ffdb7,MIN
.,0001241.txt,2020-08-08 14:57:39.668128,4.34KB,2e1e959252af0daa3a74fbbeb67aa26511bca0c7c2791d7e35b69af03a673cec,MIN
.,0001810.txt,2020-08-08 14:57:44.448049,18.0KB,b79dae2929318d98f4ddfcaed448d15848384a4e515e844873c562bf3f0e58d7,MIN
.,0001843.txt,2020-08-08 14:57:44.726064,6.32KB,fb9a523ac51978b5f6c8433081f2924244991bb4e5d117b20962fa7e050e7229,MIN
.,0001901.txt,2020-08-08 14:57:45.291939,5.21KB,315f0ea2fb1065358e6e7d419f024d1249cb94cc1f724dea142e8d5c86c845a7,MIN
.,0001927.txt,2020-08-08 14:57:45.472085,0.42KB,bcaf1be7b2e6549d9ec296fce8a8f5e2fe8e054bed5b0e7587f729bdc646f1b5,MIN
.,0001935.txt,2020-08-08 14:57:45.525084,1.19KB,efa7513ab2f50432b869affcb92ca6261045ced93c401985100534bc5620aa0f,MIN
.,0001965.txt,2020-08-08 14:57:45.725085,0.33KB,edb3ce642c1dc7e4578aa952e9fb21ddb3916976502dffe38d75493fd9aa86bf,MIN
.,0001987.txt,2020-08-08 14:57:45.873085,0.68KB,37514c1ba98c2e636e19e5b2e7732abb852b3e3267ade731345e29f032d8b580,MIN
.,0002025.txt,2020-08-08 14:57:46.131084,15.82KB,b372a4625f12c3c9d6651689289ecf57245969cc5b43b1321742b1950f897865,MIN
.,0002162.txt,2020-08-08 14:57:47.078225,9.94KB,f98cb877ee86a052e3a75e879b6a7937dcf14764e443910dc61a3a3ff5fa6952,MIN
.,0002245.txt,2020-08-08 14:57:47.660523,24.0KB,4d149a0c61fbbaf9b8ae92b512750e5bb60d8d41ec0da612e956f5b1688c6764,MIN
