path,filename,modified,size,sha256,root
.,0081767.txt,2020-08-08 15:07:41.099327,1004.0KB,b23a20d928204344a536300d6fb0e8e425e8524986fb31db1c4532cb4298ffe5,NPDP
.,0083471.txt,2020-08-08 15:08:01.313525,656.0KB,d232dc66f2c2d33727b69d37833802f5625596f06e9a67b244d5e390df70afaf,NPDP
.,0364284.txt,2020-08-08 15:45:20.994288,22.5KB,a7cf54ba63b416aa45e706c1c9b5b23fce08fc06805c2ede8e67686c4a2177ac,NPDP
.,0371387.txt,2020-08-08 15:46:21.761729,10.5KB,ee59fc95304dfe37ade67ca60d26be77be232dbbc0132797913c74990bd22bfc,NPDP
.,f66125943.txt,2020-08-07 22:59:59.320110,248.0KB,fdcd69f14a24712cf30e8d5ce51b4ec3cc0dc5f402378ff971e705c1beeaac58,NPDP
.,f7881047.txt,2020-08-07 22:51:37.382828,724.0KB,2d7b2933675d7f5b5d3a86027ffe1f97b0fd70a456d34678010fea5ddd6b2ae9,NPDP
.,f7897511.txt,2020-08-07 22:51:37.622999,732.0KB,463bc88fe7a33657f4d3d839bce30cb9c2b526b6fb015afcb0b17c778f862598,NPDP
.,f8079607.txt,2020-08-07 22:51:38.742951,748.0KB,57db08d9d710bc29cab0e1627efe49ee6833c8dc46709907995d8c49e8a58136,NPDP
.,f8110551.txt,2020-08-07 22:51:39.002908,724.0KB,f3b2733292b7b8a8aa462a39179bd3a84e372da6047247c2f836fdbbf674a192,NPDP
.,f9141039.txt,2020-08-07 22:51:47.945555,648.0KB,f10912fed96fad624f1c8349d98d9d5fa824e48b1210df78e9b5fa616f2eb0cf,NPDP
