path,filename,modified,size,sha256,root
.,0001495.txt,2020-08-08 14:57:41.545025,0.06KB,84618a394ddc8364006524e894fb7dd609472713fbbbb187267bce637685a9d4,RVT
.,0011509.txt,2020-08-08 14:59:00.013357,13.5KB,1e73d10013527e52a743b22e989a2675fcad71faa212b8f66854ccbd4931537e,RVT
.,0046257.txt,2020-08-08 15:03:23.397992,5.03KB,14f613d11a85afc4bdcc872297aea11cbc92f96fb93db4a8c1c314723f21de0b,RVT
.,0066990.txt,2020-08-08 15:05:49.491535,5.15KB,f8fd5d1ed803f4196bd3af348f10f86a2b46da00040bfe395ad65e6e9b009ba6,RVT
.,0107292.txt,2020-08-08 15:11:58.941911,12.5KB,84062080190ab7d5931edc124cfe8dcfe2e32935b154b3b6715b84ed769254fc,RVT
.,0123683.txt,2020-08-08 15:14:07.774873,7.5KB,d852e982d1e64c3c962e59e95596a22b517af0ff087b56bc98f1fab22e9db449,RVT
.,0157690.txt,2020-08-08 15:18:30.169832,68.38KB,9a0da644063523422eb29c60e30e6de9cdaebffaddeb62ac04ec7d9f37668dfb,RVT
.,0263107.txt,2020-08-08 15:30:52.480523,2.54KB,049f6f0d9029178a11709eec46da77d6e4107f4796b1ceaf581a2286186f85ec,RVT
.,0263167.txt,2020-08-08 15:30:52.933523,0.27KB,2df68febe4632fbc2413f98f1127a6f7c0e435c4aea80afb5e0b82319ba235e1,RVT
.,0323688.txt,2020-08-08 15:38:02.803534,69.54KB,b5125d925a4f3c18cdf8e9bdbb87223609bd51d77b2ee2f05bf8686b6a9a78b1,RVT
.,0345229.txt,2020-08-08 15:41:09.342097,2.66KB,2feb84b9490b12d9d1f4ba044315bd9557bd919a16bb1375958e53f5fe2140e1,RVT
.,0345919.txt,2020-08-08 15:42:43.331650,13.87KB,ed1aad69480851a80c184d5cfedc71b89bd3df0a804701d2a9b86765ff252a7e,RVT
.,0346244.txt,2020-08-08 15:42:48.808965,10.87KB,0e23b6201b98e7ca32e5b7cd6c60bd83ff1f7c902da59e372b7b3d81b5557510,RVT
.,0346250.txt,2020-08-08 15:42:48.886571,13.94KB,ea16534f69a50aaa011c6456093ebebc3f453d04b2b21091bcd9764c5a234bb5,RVT
.,0371386.txt,2020-08-08 15:46:21.754729,10.0KB,9efc8f34f08883a22c8c22f559b61cf9fa627ecbcf3f176c461043a46e0bd6b9,RVT
.,0377215.txt,2020-08-08 15:50:54.928991,283.22KB,5e91f02b27a9f3261ac096fba03d7d47f7a0a3d1765bba94f2cfee390ae15a5d,RVT
.,0381367.txt,2020-08-08 15:51:32.320492,108.0KB,0780311f2823fa1565ab1149933819c1eef59098ba5183da4cdfceb7a452d294,RVT
.,0386658.txt,2020-08-08 15:52:16.326520,283.54KB,950183e0b4817f27124e742e6cdb92c5acb1d28fb1cf32ae9d7926989cb36c09,RVT
.,0401675.txt,2020-08-08 15:54:38.155670,283.48KB,5da731d1078b0717ab11ad7f22f70512726a6b657858864008d5dcc4219a8ae7,RVT
