path,filename,modified,size,sha256,root
.,0003519.txt,2020-08-08 14:57:56.822715,7.98KB,3462444e853d2aa554ecf067056ec32c72ac720182434bdcd9b870fb8315eabf,SNSP
.,0015398.txt,2020-08-08 14:59:28.804623,0.5KB,1c484c10fd108927f2d86514753c649f1f81a1dc8bcd6900aa1329b8acfd345c,SNSP
.,0015417.txt,2020-08-08 14:59:28.942623,0.5KB,e68f45a930c5626df5a0d9a5630701ceaf6b34b5646d9ef8fba1545a9cd71e0e,SNSP
.,0309153.txt,2020-08-08 15:36:16.832525,1.98KB,be791885aa96c13cadf45feaf2fd973f36be69162763c1a30a8012c4cbd783fa,SNSP
.,0364154.txt,2020-08-08 15:45:20.015140,104.0KB,72420efdec1684a218ec54b78001db6fc026fef38d65899327fbf8888e81ad80,SNSP
.,0402819.txt,2020-08-08 15:54:59.047576,7.5KB,29a1f88636c54d96de3834d14f021a10c41d08f1e5a709db1e4e358762fd95c3,SNSP
.,0433430.txt,2020-08-08 15:58:51.257209,1.44KB,5860a067fcaf73f2875b93d69b6f14eabaf265dda07751c13e8595f86b4deb5e,SNSP
.,0473088.txt,2020-08-08 16:03:55.601943,3.63KB,1d524cafe281160c222ac631b610fd3dcc9c9e3e4dbecf6e8c51658763093635,SNSP
.,0473089.txt,2020-08-08 16:03:55.609943,3.62KB,67be87df3344ed82770008b104994064e1c3260e229690e4f1443ee380c15b2a,SNSP
.,0473090.txt,2020-08-08 16:03:55.616943,3.53KB,1aaf6cedaa21d4db080f6f91d14f199a15dba3c1b3403c2ffb7932b8731893ac,SNSP
.,0594191.txt,2020-08-08 16:21:46.224941,9.0KB,8e7af46aac7ffacabc9874fb04e05163c21de8b5403748e3e076558317ef6130,SNSP
.,0661144.txt,2020-08-08 16:32:57.670668,22.75KB,4f022ee09108af7fad41330a9c15995e9a45765239f5996b9f1d32aff3c2304e,SNSP
.,0679541.txt,2020-08-08 16:35:17.869400,17.41KB,263aa5be33d4cbe88cd498177edeb6bff9442cb5ca54691bb90f8aa46d62bc2b,SNSP
.,f304100719.txt,2020-08-07 23:32:01.272157,126.13KB,fc0e3e17819609f047a213a534c7713f90ed591aed2252a732a52eb571751b9f,SNSP
.,f371841583.txt,2020-08-07 23:43:10.387523,47.0KB,79c7a3c44a370a3159c7675c9edc3c98f4eb88dccca3955d172e3491fb825e73,SNSP
.,f481778223.txt,2020-08-07 23:55:18.186651,47.0KB,42ffffa0522244ff5ad90f19051da2a89d3e6798b508d5c7436f35c45634bb94,SNSP
