path,filename,modified,size,sha256,root
.,0001128.txt,2020-08-08 14:57:38.898975,18.62KB,df94ba71cd74e82ab9c687ab430ffe93ba84baa5c710650bd3ffb7161d68b393,SNS
.,0001319.txt,2020-08-08 14:57:40.256128,31.94KB,f34aede70e3c6b05449f9dca7ce608a0890fa5cd98dd9b4404b33d5f3ab7f1d0,SNS
.,0003518.txt,2020-08-08 14:57:56.810717,10.0KB,88ce4843d0a22105290ed6be926de76e0002f2faf7af58afb91359241a62bca5,SNS
.,0007701.txt,2020-08-08 14:58:31.518975,12.34KB,8a050c8a8dedf9ca49d0d75ab87ae045840446cef1e8846fb916e21347bb8f08,SNS
.,0022820.txt,2020-08-08 15:00:23.313259,154.47KB,6291fdaa4cfc04d52ef3c8da6897faa9555432a558d1a0b5acad1c607e1057a2,SNS
.,0067414.txt,2020-08-08 15:05:52.557680,4.6KB,01ec084761641dd69ed3290ac50167b0f5f7f3924a1f781ac7cecb7f9f7a1ded,SNS
.,0067819.txt,2020-08-08 15:05:55.218447,2.03KB,d3bb39761350e2040840bd33a8f8e4002c88a23263c0bb8142e028ffb185c09e,SNS
.,0067820.txt,2020-08-08 15:05:55.225447,2.02KB,87c465462c6b4338984b9debe9c900c9332d212ab763c57ca86bcae273466798,SNS
.,0071819.txt,2020-08-08 15:06:25.104760,0.57KB,dab67e5ab2c352afd717df1bb4e6d75dc580d6c95353e864efdea9ee3b013481,SNS
.,0071829.txt,2020-08-08 15:06:25.168760,1.23KB,d08bff8e6ac94f7ee0dc688adfbdf9478d7511f7c06c91fee35c6c0baf541388,SNS
.,0071904.txt,2020-08-08 15:06:25.651927,5.82KB,138ef06f556f7e6c90e03387f54d36b499fed3b29df5d0b8c9d1fff4561f4adc,SNS
.,0071913.txt,2020-08-08 15:06:25.708927,2.67KB,62c8a864cdf6fcb8636786f0e2ff430969d07a3d2b271a5568c727fe2549de8c,SNS
.,0072471.txt,2020-08-08 15:06:30.642740,32.0KB,156d2c85523795a383b8ad69ffc740e0a9716f635f6b12cc235d3dd3f822dff9,SNS
.,0078305.txt,2020-08-08 15:07:12.696671,64.5KB,ad05247e2c827bf610dee43c9d078166c648f476d76f30a12b636972924e975a,SNS
.,0079763.txt,2020-08-08 15:07:25.196501,20.5KB,e001991643b2fdfafdbea940459ee44fc98a957d0c053a5526e7520edd444e0a,SNS
.,0082047.txt,2020-08-08 15:07:45.329321,64.0KB,1d925411a33d731563ed88837e673d500558ba7aba98ad878d45d7e567843626,SNS
.,0082452.txt,2020-08-08 15:07:49.814955,20.0KB,332be5dc5ced5ac977dada90e00025af515a929d014ebc3d669e752ee9ba5df5,SNS
.,0084269.txt,2020-08-08 15:08:23.360180,71.14KB,e990375e85d55da26057d7c5b2fb8cfa667e30e6cbeb78520fbcbafa3a4cd800,SNS
.,0084324.txt,2020-08-08 15:08:23.914893,107.3KB,7e6f56068bc0e9657e90a1f9ae82921484404bef2dcf54627211ade9af764980,SNS
.,0089883.txt,2020-08-08 15:09:48.543706,153.71KB,8be813e8560165d98fac25eb76e9d38146026b2786060f3b718b1f7099dc32fe,SNS
.,0103891.txt,2020-08-08 15:11:33.476565,30.49KB,cb780440d90148456517e21eaf6bf5499666782c603163dca50b48cca4f566c9,SNS
