path,filename,modified,size,sha256,root
.,0014038.txt,2020-08-08 14:59:18.938794,34.02KB,920766fc2d935c7735b48270118d73e02b8060df27d3ec8805afabe11422dd79,USG
.,0084272.txt,2020-08-08 15:08:23.379347,68.95KB,5394046d39d182dda11f3f466aa0faf3d96744abae2d272edd0337bd4aa2f97b,USG
.,0404528.txt,2020-08-08 15:55:12.859557,25.5KB,b400976614646a918ce8cf327393be57998c87ff2f010de04918b80fb573e2bf,USG
.,0428359.txt,2020-08-08 15:58:13.255407,1.49KB,4311c4aa3f6c278f30f5b0b9f1e2a275e6a165d3fd23a3a82c4400b5d11e89c4,USG
.,0441602.txt,2020-08-08 15:59:53.038382,13.86KB,50fbca5f67fcba1097be255f83111cd4d4466c3853d3074a314618f94185b925,USG
.,0441704.txt,2020-08-08 15:59:53.778540,4.39KB,febc5acfdbd4e1aabe97797371816df40440c285f0ce0a08cdfcdf15279f6ad0,USG
.,0447988.txt,2020-08-08 16:00:44.831773,119.97KB,623961f88f6985c817bd096b0b78e898abcf960c899285df836acf7039df12f0,USG
.,0453136.txt,2020-08-08 16:01:24.162681,1.86KB,3e4372022e30b573b4b2d6cbb7fc9b5888544b8f991fdd969f910c9aa0b87336,USG
.,0453137.txt,2020-08-08 16:01:24.170681,2.02KB,30133460b679cc2d78493a5113589f59e4f0cd4add0bf7e8e8181a065d3fefff,USG
.,0461057.txt,2020-08-08 16:02:24.826208,11.43KB,67546a18fa8894e81791b4c2acb3a3f038e865effabff7eaa6d3b0a447c6f570,USG
.,0461060.txt,2020-08-08 16:02:24.848209,9.4KB,58352ef8e56d26de55fb82592cbfc7a783f18878019a46b1a9e2ce87452846c0,USG
.,0485664.txt,2020-08-08 16:05:33.240267,16.0KB,109a72efef936860372d08dc22fa6a3d8fd72784a7ca0470a305a1422d098379,USG
.,0485665.txt,2020-08-08 16:05:33.247267,5.5KB,d1eb7a10f8982d3adbcf0cab88e9357ada3c9bb3f4b3b3514475def1d57ff43c,USG
