path,filename,modified,size,sha256,root
.,0011911.txt,2020-08-08 14:59:02.984749,5.84KB,67113777856483339976e459ed9404e186c4152a26d8935b533b72402cc5bfc4,orcad
.,0086828.txt,2020-08-08 15:09:25.052552,4096.0KB,d5111c54d99d564d502d02fc15aa3259a2779c0f8d41979017517491d6b6bb2c,orcad
.,0091847.txt,2020-08-08 15:10:01.978407,2180.97KB,013ce061477e4ba9ec44ab018119923efb2c8fbdcdccabd642c8c83cd15e500a,orcad
.,0213130.txt,2020-08-08 15:24:56.007632,28.95KB,72fa0086b947b7fb86f5e2980636aee01a0bba5af51cb3babf727d2d97309bfe,orcad
.,0330736.txt,2020-08-08 15:38:56.337775,28.99KB,e685999bb8213468d21fb3dd750dfeb984462b00e0b99024f4d7f05f8e944709,orcad
.,0404768.txt,2020-08-08 15:55:15.428319,34.0KB,0f382c6a91ca70d16beb6a22f37156c4d111b8d85bc5b92ca811f274352b46b5,orcad
.,0591626.txt,2020-08-08 16:21:27.623434,19.5KB,07169cb7391f899e66d5a80626e49fe2fcc0d7dd43282faf33c79a91bc290c50,orcad
.,0592407.txt,2020-08-08 16:21:33.202781,1.5KB,1dc5ea463b7eb6b5e7e6daa7a870e42682744004a9edfbeb3a7c276de1e2d83f,orcad
.,0660603.txt,2020-08-08 16:32:52.735583,217.5KB,6a86a7de5cc78f4046461beff0737857560a1a160324c3dc985b14648679c554,orcad
.,0660605.txt,2020-08-08 16:32:52.750582,187.5KB,5cdf9897d1af87bc9899484da0b94a8bd0fbd0dddc8a899adca747beef627cee,orcad
.,0674242.txt,2020-08-08 16:34:37.310763,30.19KB,b0f9230bab38785ae43e09bf8e30b2b7bd1075280dc84818d03bcdc1c32ea15d,orcad
.,0745149.txt,2020-08-08 16:43:26.406885,432.0KB,d2ac378080f54112310fc2140cf4106f36a8b937f7a0ef2ad169d9d34fd24622,orcad
