path,filename,modified,size,sha256,root
.,0005165.txt,2020-08-08 14:58:11.260187,5.47KB,1c81ae9b64183ea00acf81189c065cb4592561cf6c0a10535c14a59fb2270afb,oxy-
.,0015345.txt,2020-08-08 14:59:28.455623,3.0KB,b728ffea10a8e85e18896e405225efbda52758a3f8f365cbad08cb80d4828f44,oxy-
.,0015346.txt,2020-08-08 14:59:28.461624,2.5KB,1a397bd018f54987b42534945562587a60e50ea408aa7fb994076e8969ec7306,oxy-
.,0015349.txt,2020-08-08 14:59:28.481623,2.0KB,a01a7f9112803ae30b28017e2f3f7c60ece05fd5c621a9a7595d840e43f95dc2,oxy-
.,0015351.txt,2020-08-08 14:59:28.494624,2.0KB,715067040f952d1e9cf4c33d55bcd412118eafafe1c4779a4c21bf506081c83e,oxy-
.,0015361.txt,2020-08-08 14:59:28.560623,2.51KB,a8b57c9e4d294f8555a2a01f4b3c2d28427977869b9afa1eb779c6de13ea1ef6,oxy-
.,0015438.txt,2020-08-08 14:59:29.080623,2.0KB,93a0cb75f6fa8b5339f4669578d8aaee18a449183b02eb478d9b038fbecb1bc2,oxy-
.,0015447.txt,2020-08-08 14:59:29.140624,4.0KB,a747cdb348ab9dbba7767825be8062b306c001ae902ee2fe6590208b8673e2fe,oxy-
.,0015471.txt,2020-08-08 14:59:29.298623,4.0KB,769e84a0f79441f482bbc14b9dc064ea5de165ff0be4953ade4ba0703bc4510a,oxy-
.,0015500.txt,2020-08-08 14:59:29.591466,0.5KB,40bd9fa9b0ab3bfdbaf38e67bebd51b915ae77142095b0d731c97af06e4dba5e,oxy-
.,0015503.txt,2020-08-08 14:59:29.613467,0.5KB,abac0b4c2ad8f1234fe7ace1ae1251c6c262657b0f5182b3bb0539b75a699467,oxy-
.,0040857.txt,2020-08-08 15:02:36.127761,48.0KB,47e78cc20da21c084166e1d6ff9716dbec68289da77b186df440407562819b88,oxy-
.,0040865.txt,2020-08-08 15:02:37.010994,48.0KB,de9bb8a7ff18b8f854d8862f4663229b7e91e59c95724965f89614d1c549a6d5,oxy-
.,0041331.txt,2020-08-08 15:02:41.633628,360.4KB,793e0d7e368f785d8e63d80c4262d7a26ad085826b402cd96835cd5890d44b58,oxy-
.,0041668.txt,2020-08-08 15:02:43.953938,360.96KB,0b789f48eced777d6cd028d4bc10af20855fe1b390d561832ab6e9c944cd304c,oxy-
.,0046462.txt,2020-08-08 15:03:25.052321,48.01KB,92f8a3c6a6060aa3aac5fbe2bf5432a9232c1db40cc2017563e706419c35d322,oxy-
.,0049170.txt,2020-08-08 15:03:44.430021,48.08KB,88eeaf285cfa78b8fad394ceee7965e0f5308460ccbc2ddbeddbc3632be5227b,oxy-
.,0059430.txt,2020-08-08 15:04:57.550067,4.0KB,80520b8f82f8da23bde200915b078f82b42d16bb5d231c8bc5f9861dbf085b49,oxy-
.,0059630.txt,2020-08-08 15:04:58.867224,4.5KB,bab1b743597cd5eca09ae6c47fa8e076a7d4ca55bbd588ed35ad064b4dd8d336,oxy-
.,0059699.txt,2020-08-08 15:04:59.424493,21.26KB,c2d13a505f2ac241c70341d0fe1d08d28d837085a2ae7e1c5264dd9633d24820,oxy-
.,0059712.txt,2020-08-08 15:04:59.534507,0.5KB,f485b380cafb6d7dad199b8976ddd8ec787b526f056d2ff92649488ade2df5c1,oxy-
.,0059905.txt,2020-08-08 15:05:00.852627,13.68KB,995976760bd3284e1271ca0125a714a4d6f856f923ce8ea7cb2f1d98c7b4ecfb,oxy-
.,0069913.txt,2020-08-08 15:06:12.130698,22.06KB,d1022e614471a49bd10aa688fe11c2e5094e8ef274f1cc11b4d8f269b696a1f3,oxy-
.,0069921.txt,2020-08-08 15:06:12.181700,1.94KB,00b9a8e164b0e19f8815175fadbf337a11bde5ddca4f6bdc6b9b36fd3a1b217c,oxy-
.,0069960.txt,2020-08-08 15:06:12.490378,48.0KB,9a14a3d6efaf9e389dd1c09cbe9c82b10efc632c70eded3e6d8a6c4c1564357b,oxy-
.,0069963.txt,2020-08-08 15:06:12.510378,2.0KB,2ad24bdc2a5d7951d494ad03a7b459fbc136f826df640db94e97e14c37877057,oxy-
.,0069965.txt,2020-08-08 15:06:12.523378,6.18KB,f4f66832b2b783c72167706abbe44c275f48f19a3b1a77cd225351e446a71e1a,oxy-
.,0069966.txt,2020-08-08 15:06:12.530391,1.72KB,1d2e0ee79799c748160e040225f0d0f4bc82b173cc2d0bf75dc6e1ba321abbba,oxy-
.,0069972.txt,2020-08-08 15:06:12.568391,12.69KB,08ca5cee3b7d83314de7eee4b7db37bbf622d0041d8c2cd9ea145274d3d1dd97,oxy-
.,0069973.txt,2020-08-08 15:06:12.574378,8.19KB,c0532175d86ff11bbfce289cd66d34f2b68b79b090b23aa8b13d6795c5878f70,oxy-
.,0070647.txt,2020-08-08 15:06:17.035231,132.0KB,76f167969f2a4794e183d992d3ab69a9217464926d3b47e6af54440ec3fcf86a,oxy-
.,0071268.txt,2020-08-08 15:06:21.499285,147.7KB,b15dea13dc774684ba6ff6172227262d54728c3be07af6192d6eb297e1fb3e1d,oxy-
.,0071641.txt,2020-08-08 15:06:23.953611,27.66KB,ccd2ccdd16beb3e25af1a944aff0c9a5de13c992571bf0f39dd243a007ae086d,oxy-
.,0079472.txt,2020-08-08 15:07:22.986238,3.5KB,7e6f5e50b81f5a98c23d130b0b8ee16e0a932c5da3bb5c00b442d6d954c5e3bd,oxy-
.,0079566.txt,2020-08-08 15:07:23.605419,7.15KB,bf33c1512fcd6cb8dfe607b9ac9ff3768cd623eb47fd2840cc37dc06beb70e9a,oxy-
.,0080644.txt,2020-08-08 15:07:32.661702,8.89KB,e32347542654e4c3f02832ba137ccb093d6f723cfc4c1dfd0ec11482c8fa6404,oxy-
.,0082085.txt,2020-08-08 15:07:46.250868,41.86KB,de000ca1c0c5994f2ffefa1d271683a68291b142b0713c8432cd0721d1019940,oxy-
.,0082089.txt,2020-08-08 15:07:46.276884,41.86KB,42fca32a3a4fcd9d5285a07b12c07f818f5986fcec17b2fae93f6e4c59b7164c,oxy-
.,0082651.txt,2020-08-08 15:07:54.262412,42.89KB,b06c71b956b6af3fcd949bfe80a649527a77fffc6cd4dd35817431265e31173e,oxy-
.,0082855.txt,2020-08-08 15:07:55.557759,48.01KB,d349010da0a605a69264c5995e93c16e2df5f6aa0592a4ea8426a2259fe82c8d,oxy-
.,0082858.txt,2020-08-08 15:07:55.576758,47.09KB,ae88191ae6c36f331327ee0434b2f2d596bee40b2f9d5863deca036e01296080,oxy-
.,0085060.txt,2020-08-08 15:08:30.199874,6.66KB,3f358ff1e3679819aacea974a7b5cfdaa86e7b377e89e28f223c0151a983f217,oxy-
.,0085070.txt,2020-08-08 15:08:30.274876,39.99KB,e51b47a25edb024eda70714be1a5c2e548b9d9721601bff34af19df3330a9852,oxy-
.,0085270.txt,2020-08-08 15:08:32.187511,3.48KB,e6cf8cf5b02558af26b7a73c1523c98793c9c80e3ea2f720f97140115fb13998,oxy-
.,0085280.txt,2020-08-08 15:08:32.256512,36.4KB,ed0d4a242ca3907e02e6b50cd19ef93074f37468d52deec3c54a0dd33aae6bad,oxy-
.,0086283.txt,2020-08-08 15:09:19.681788,501.5KB,3524c43dc46842e67dcc584a57750a419d915aa5f778f02bbc6140b10e71af46,oxy-
.,0087113.txt,2020-08-08 15:09:27.633927,6.77KB,ddf46fb10529226d15ca2bb2c5c26282b3dc06cb655f7fa17aae88e0a020b38f,oxy-
.,0088369.txt,2020-08-08 15:09:38.232968,4.0KB,7c12a27cbc47ac8a54eb2c8a9d8f66b5074deb62cb83bac5bd64e9ae4d6dddb7,oxy-
.,0090615.txt,2020-08-08 15:09:53.525463,11.43KB,aafd1d89e75ee4baf787799ae37b3f2bf8b700cb8dfe6278f85e47b5b8629d8d,oxy-
.,0091886.txt,2020-08-08 15:10:02.330010,40.0KB,39b1531fa5c4918bce57fa384f263ab3d697b9940606eb6173eefe48cfa9faa3,oxy-
.,0092011.txt,2020-08-08 15:10:03.179168,82.11KB,033991046ececc0913290da8c22ee86ce8be40c460b960575dd186ea6def4cdc,oxy-
.,0092128.txt,2020-08-08 15:10:04.177851,4.0KB,8c79a78d2a9eff3de7b164e4f4e6debd8d718c05ff7027834abe86d45c3dd617,oxy-
.,0092258.txt,2020-08-08 15:10:05.070034,1.0KB,eaf14db421af302f31e15e49edd870472c86359ed9092034d52a42b54749a395,oxy-
.,0092266.txt,2020-08-08 15:10:05.122034,1.0KB,25cc07c1da25027812c78c8f26bf4fa168cf63a84e55231852fd7c1e959bbdb0,oxy-
.,0092588.txt,2020-08-08 15:10:07.358887,8.0KB,831baeec10cb673271834fa2ca7bc655567002b434e6f8461a6c04491960bc72,oxy-
.,0092667.txt,2020-08-08 15:10:07.896036,7.87KB,fe07621af660d1b6e91ab78ee0015c442f83b887a84c620d44333998f6920433,oxy-
.,0095297.txt,2020-08-08 15:10:32.869371,0.21KB,19e559e5f5093c808d4aaa26094a2d390fead46943c4f7d70195f3cc1de43779,oxy-
.,0105054.txt,2020-08-08 15:11:42.200104,6.74KB,23da600c8b1da76c3469bfc64c62f86e5fce54f27586609173d8d201439653ed,oxy-
.,0105080.txt,2020-08-08 15:11:42.446510,8.0KB,9c817aa1a2fd422ec48cffc7d43b396f12a61600f92703e4771d3da6d372210a,oxy-
.,0105102.txt,2020-08-08 15:11:42.609510,48.01KB,d8c14eb08b726077e9e721909ed6d7b7f45f43d82f4ce460cdada64ad3a339b0,oxy-
.,0106304.txt,2020-08-08 15:11:51.592289,7.0KB,1fe1b1daddb3137e2f7825ee73da56f0da86d866c4154302593e3c26a21a3dce,oxy-
.,0109156.txt,2020-08-08 15:12:13.381655,1.31KB,05a897856e2ba2f96dda152d3bee3f2604107612512bef34162e2efd3302bec1,oxy-
.,0109163.txt,2020-08-08 15:12:13.428656,2.32KB,0d5dba0c78887b5dad8f9960d305c6ac27db92a6562bb37cdfba910cfa355eed,oxy-
.,0109171.txt,2020-08-08 15:12:13.481657,7.46KB,ae534d268c1193f4c547fb5c82ee61900e41171c951d4dae2d3b326a964a0e16,oxy-
.,0109793.txt,2020-08-08 15:12:18.784298,13.0KB,2c7f06c9a32a246d77c74236db062b0cdafbdc9d801971f6419d6c48314adc0f,oxy-
.,0114891.txt,2020-08-08 15:12:56.374039,48.0KB,cf5c0d0492bb468f8d18f518e597b15b64b601d63f1fdb88c3483880e6fd433e,oxy-
.,0114939.txt,2020-08-08 15:12:56.869676,48.12KB,442b345a6c6239d5b0bfbad5144728e1464069dd2a2c9bda0529ab07f8fefb97,oxy-
.,0114980.txt,2020-08-08 15:12:57.180676,48.0KB,f79ca98374aa3e4c4efee1a58456b90d490d768159499d427c0c799e38109304,oxy-
.,0114989.txt,2020-08-08 15:12:57.244676,48.14KB,3bcfe948f7a285386f782541fb40f05fef10c745523c579016459c70263a1b28,oxy-
.,0123802.txt,2020-08-08 15:14:10.116474,8.0KB,6bcd5a7c64972985d4812a49f2f6c8fb3e0ab7a9ceb5653fdd03ac2c4c63293a,oxy-
.,0123807.txt,2020-08-08 15:14:10.217527,4.0KB,bafc8d7e60b7444dc9dbebfe2b413d416313a39a5119930ada75de33c4224810,oxy-
.,0123865.txt,2020-08-08 15:14:15.242509,8.0KB,4c9e7a8be81259becc6c7317bcc687d2f86f10e1fc3e3ed8635b05f4c6712f39,oxy-
.,0123903.txt,2020-08-08 15:14:15.489656,12.0KB,11b75e9a1c4df2f6ab13b551b50600a65c0bbfc016512b1beb779fe4c4b1a48d,oxy-
.,0124139.txt,2020-08-08 15:14:20.599022,8.0KB,76ded8104e5da462d03ce3e5473a91d46e945c6fe313c6c20d900f8cbacf3087,oxy-
.,0124177.txt,2020-08-08 15:14:20.856023,4.09KB,c69b075cfa0f90604f068d5c1113d5988c9461f9bdd6afada5041239f75608dd,oxy-
.,0124182.txt,2020-08-08 15:14:20.888022,5.0KB,da560f73e35741622ee33fa3b36772d7eb87057c50b475801f3ff3afb676fffa,oxy-
.,0124396.txt,2020-08-08 15:14:28.472437,12.0KB,0e96b8131a3270953cee9d7b6a7e5a851429a22f37c3a369db707001dddf9ae2,oxy-
.,0124397.txt,2020-08-08 15:14:28.478972,4.0KB,b52cd9716591eb58efa988f0fe2ebad9c6bdd13dbd398cc1b2f3247b9c13e952,oxy-
.,0124760.txt,2020-08-08 15:14:31.947298,13.44KB,21a11938ba20b241453b3b5afcbe18662b2f60280c84501e79ed6e37c469e608,oxy-
.,0124762.txt,2020-08-08 15:14:31.994417,17.93KB,06c0c00699740b82ee08abf2da5a1dea911f5b2db2aa2ba674f0d6f3710e4505,oxy-
.,0126865.txt,2020-08-08 15:14:48.940590,7.46KB,c6d17df5cb5e8671efc40165bcc8c230efdebb1aef47a06a63b65d5e856930c8,oxy-
.,0136588.txt,2020-08-08 15:15:57.806992,38.78KB,f2d00c1cb4d4a770478ca4572d30b21540c1f666bef32c92ef7ef2258e35dca5,oxy-
.,0156142.txt,2020-08-08 15:18:18.518299,7.0KB,7a0556bc40eb2c89cdf9fa4d1e2261bd47daebdb528850434f0b39eacc9349ba,oxy-
