path,filename,modified,size,sha256,root
.,0005158.txt,2020-08-08 14:58:11.212187,28.87KB,70f52bd8c0595c337e3214c12d401591598a69e4ba8cc9d1cf12595055f12716,psoc
.,0005159.txt,2020-08-08 14:58:11.219187,5.0KB,56059093325c311f46e608bc0065278888782ae6d851c11f284c8d399770c27a,psoc
.,0015424.txt,2020-08-08 14:59:28.987623,4.0KB,8df0a772add5e5f306a8c4a6ecd199695106c6be694ba623981129b430426a3b,psoc
.,0015441.txt,2020-08-08 14:59:29.100623,4.0KB,223d99bca4efdf269c9fed140bb9abf428f9f976b597a52246fb48e5870b115e,psoc
.,0015445.txt,2020-08-08 14:59:29.126623,4.0KB,e32a6916d2a1679362dabb8320a616a7226ecfbfbc52c7cda8d3b403e3d21b63,psoc
.,0022998.txt,2020-08-08 15:00:24.687416,2.79KB,a256556918fbbeff16a088ab42e296998871f3903c15df3065726f855d3cb01f,psoc
.,0105100.txt,2020-08-08 15:11:42.595511,7.65KB,9768aa3319e654055c1b84b99e9d10f45771fd9bd1a445cc628034383badeb94,psoc
.,0105454.txt,2020-08-08 15:11:45.036852,48.01KB,1b99a6a333a138f26238e00202623f62f22298073f1289373a363544dca46fdd,psoc
.,0138864.txt,2020-08-08 15:16:16.787456,48.02KB,1b13e4ddc84a61d882ac72db661d67b63caa077f802604090813122670c12557,psoc
.,0365161.txt,2020-08-08 15:45:29.834119,2904.0KB,cad85a281fd5e8f61eeb2be20973103b6c67c28fabdce18237ff9c7249e8e74c,psoc
.,0376594.txt,2020-08-08 15:50:43.563809,51.9KB,2dde394512631c0432ec70b1c92c96802d408a5d717f41c8e5a493245d19a382,psoc
.,0377989.txt,2020-08-08 15:51:02.531631,216.93KB,c6ae6b374bb1a39596de266652e0e2a3862e5692e388dc972c0056700635e580,psoc
.,0380277.txt,2020-08-08 15:51:23.621236,2.75KB,ce6f2a783ad80835801c66d46f7f6861faf1691e735d36cf6dfc82caa895e4a5,psoc
.,0383635.txt,2020-08-08 15:51:50.885415,1.0KB,21548fdce725994a6807827e71a9e0202c015f0c7272fcc84284aeb193f78dd5,psoc
.,0386026.txt,2020-08-08 15:52:10.230734,38.4KB,566e470457f12b9f42015f919844611f1430f8d9abd08100b967afedba4aa046,psoc
