path,filename,modified,size,sha256,root
.,0017895,2020-08-08 14:59:46.627016,14.16KB,91a943d422d877f56dacae0281953f86d04485959b2917a344fdfc8cd7eafa3c,CTR
.,0069862,2020-08-08 15:06:11.786700,7.63KB,78d192ad62b148035554baad03f24ba52bb304bfd4073e25a1bc3ec7a87086fa,CTR
.,0082274,2020-08-08 15:07:47.781808,2.47KB,20b515bd2a594d3aecd899dfd5b12dcfb28e28064304ce5e301c8c199dd5d1ed,CTR
.,0082287,2020-08-08 15:07:47.868808,32.78KB,528440988002547bb13cc4e5f1b88752b2fd133241964ee487a0f2344c12fb89,CTR
.,0082293,2020-08-08 15:07:47.909820,0.44KB,09fe2af2e566ee35998d418a96b5d514d79bffeb9a2fd591aa0454c7f6809abe,CTR
.,0082305,2020-08-08 15:07:47.989809,0.44KB,aa2be526142166b8442997c64e5c279901ba02ce1fb50639df8fd9cd1fee4f88,CTR
.,0082333,2020-08-08 15:07:48.190806,8.79KB,ffb7e121d2db7f751df0062c3f309db661c4f08492b15c7f16db29e3640c6590,CTR
.,0082355,2020-08-08 15:07:48.330808,1.74KB,fab6cf53b0c183d3743c05871fa9bd7101e7148d8c796304f7920cbc028d2ed1,CTR
.,0082380,2020-08-08 15:07:48.490998,4.76KB,9a0d54bd75121c5906e0167b09317cc9f4eeec672f69a8460461a0280f9cbbda,CTR
.,0082985,2020-08-08 15:07:56.668820,0.44KB,5c9fbeca6d2866bb81da8732d55dce0b3bf2c0f0b8ed3cc8f117b16292397c69,CTR
.,0083012,2020-08-08 15:07:56.853820,1.75KB,90eebd110f514cf871f40e716bd31a3f23f01940af72428f848610b5d5f85b4f,CTR
.,0083023,2020-08-08 15:07:56.927820,0.44KB,fbe92863a25692a47ec423916abbbf344c2051f7c8dfe952fdfda5ef25a9fef8,CTR
.,0083066,2020-08-08 15:07:57.217820,37.72KB,ea37456e6f5c61c3061924eadd2138e280b5472a66d7d3f3e36c6e03fbc6173e,CTR
.,0083093,2020-08-08 15:07:57.399968,8.84KB,50d263ac076b405da6796ee9aacda5e7e3463ac3bae4bf4e8a02ab60f39d1cef,CTR
.,0083125,2020-08-08 15:07:57.607968,5.33KB,a28fbccaf06ee163f90a1c23531fe357af338a8d215469eba42a688df26b568c,CTR
.,0083144,2020-08-08 15:07:58.306734,3.94KB,5308e3d61d181f53149e8fc0f1f93c4e340dd65fa5ed8ce54265ce348d2907fb,CTR
.,0083193,2020-08-08 15:07:58.698663,33.71KB,65dcf19766725480bb238f129cf0ee80467f7030d25a317de7687087857e4bc2,CTR
.,0083633,2020-08-08 15:08:02.637770,33.01KB,fb28d4e8d15015807697dcfa18ec4348d2e39e1993bac6d3b14f7bc53859e7c1,CTR
.,0095543,2020-08-08 15:10:34.488692,9.81KB,adb18463c962f35ab0605080cfa10aafbbe1cb984c014454d7ebfdcd7977c0b5,CTR
.,0095941,2020-08-08 15:10:37.347439,1.48KB,0393059ef05bf1e02e89919862f2e7d1c4edf717e6032892dd7f553db9bfe197,CTR
.,0095943,2020-08-08 15:10:37.360439,4.57KB,63a1d1418cccde4b30581b326f692c90c80daceb2660be00111342bba393ed92,CTR
.,0126522,2020-08-08 15:14:45.786480,4.0KB,414d251712ef2a46090605ee4c5799b4f64d23ccffb8fb608153b63bb5414f91,CTR
.,0139148,2020-08-08 15:16:18.837196,32.0KB,a7bce328642b67003094160e0cd24dd880062a513c59b0a583427501a5694e81,CTR
.,0263020,2020-08-08 15:30:51.168287,1.79KB,cc550255cc9c031b8110f2c00ce188b47ec4e35a1952e032d774169519a44bca,CTR
.,0263024,2020-08-08 15:30:51.195286,12.58KB,9a2414daf8359d41d0af63af3d68a7561eeac075c3fc17ee0b061d67c3975eb7,CTR
.,0263032,2020-08-08 15:30:51.249299,15.37KB,8ab721751dc1b708452a8e10a1fb8ee2cdf2790090f8812961e4f964e5cfbd93,CTR
.,0263039,2020-08-08 15:30:51.296299,3.65KB,49172fca33676acf5844783535222c6a250eefce3241f73c83a0bfdebf075278,CTR
.,0402503,2020-08-08 15:54:56.237089,2.18KB,297e6ed8f4c443ac191b9c928bd31399cbd354b8b506b49c117275202054fb7d,CTR
.,0402504,2020-08-08 15:54:56.244089,1.16KB,5e20860551a37cea7f8ffc93e30054c65e00faabc1246b585650ea14dc7dd0ab,CTR
.,0425257,2020-08-08 15:57:50.536113,51.53KB,755b4e540932abb48e125ec9bfd7cb5a5fadf2e60737b0d595f2fcbd558fd223,CTR
.,0447253,2020-08-08 16:00:37.635361,3.54KB,beb123b3abdb012f66bb8aed7b28b78731c99d1404f968c75965bf03c13e58b5,CTR
.,0457092,2020-08-08 16:01:54.226734,155.31KB,7c082be495c859fd386be7063c3df22ba47e5a24c4fec0fbd2a024ea9da758d3,CTR
.,0465465,2020-08-08 16:02:58.383413,12.25KB,87036fa4a8d594318cd1765e788e212d5973f26f3f7a114c50bddf18015dfb1b,CTR
