path,filename,modified,size,sha256,root
.,0001217,2020-08-08 14:57:39.495128,0.8KB,16c3a94271993353a077e7b2e7d286e07eab96258bbbc7897ecd8946cefcfa89,MIN
.,0011426,2020-08-08 14:58:59.182861,3.62KB,1abebeb590e040b72bc4ca539133de43e35081d3bbdc7a1e34c5212a8b26e26c,MIN
.,0011449,2020-08-08 14:58:59.342861,8.18KB,f298cbdf3d0516bbe6ccdf15ff94e14602f8a7407f5c5ef310aec81a333c0118,MIN
.,0011771,2020-08-08 14:59:01.846592,3.54KB,3fc97329a03ae00eda81ada2d6e4cd622985440bd61a0b8997274515cd2e4245,MIN
.,0013249,2020-08-08 14:59:13.576918,29.45KB,0a48bce69065ab99ad2c3a1599e0b6c6fc5e78c2bae1bfc2f7312d2cd8afe8b2,MIN
.,0013257,2020-08-08 14:59:13.640917,17.94KB,858c74001e805032471d081cfbbcd2e22d4921e75fa3245c1ac051abe60a3466,MIN
.,0013261,2020-08-08 14:59:13.667917,11.3KB,d79e45dfbbaaf77933f39a6378ffda5cdbe131189977d897803411775c782cfc,MIN
.,0013518,2020-08-08 14:59:15.417248,27.29KB,452c4d61f27d8b55e05a3ca7673154c9fde5d1626fb5da22d2a17777f6119c0d,MIN
.,0014931,2020-08-08 14:59:25.415577,9.6KB,5c85f76a026a2185e0e4a624883ac4b2d6ccd98266ecfc3a34524c90270b64b8,MIN
.,0014932,2020-08-08 14:59:25.456576,19.44KB,ec701c74e66bab4d6b88fbdd6aced8bf6a2e55ef4cc63670051755d8162d11fe,MIN
.,0015139,2020-08-08 14:59:26.985923,2.25KB,e7712a47726c05cb5d92887982a59ac0e1629496615da0088c072163e30168eb,MIN
.,0015908,2020-08-08 14:59:32.425977,1.11KB,f9960d962d9c3b13c08dc4d2f220ffb36d511a46cb28ddf39fea785877aa5ece,MIN
.,0017892,2020-08-08 14:59:46.607017,1.7KB,def5357222eac9221bbe005691bbedeae798328b89c5a7f51f469c95c59907df,MIN
.,0025843,2020-08-08 15:00:45.321793,3.1KB,7a8499a35f19649f54de036fbe3a6ee41cd56d0804d2e06fe4c3a4f0e15aa018,MIN
.,0029603,2020-08-08 15:01:12.804719,4.48KB,32c8d36285fc6a3457f05a2f0def2dee4bc1b1112b91337fd9ecb4c68d3461f1,MIN
.,0038370,2020-08-08 15:02:16.646149,4.1KB,c5fd931670f9f221bd322bc5c43ebd00a03e23c115820a6ebb71070a83d4436a,MIN
.,0038382,2020-08-08 15:02:16.726161,1.08KB,6931e11fddce8847c986b5639af41f6d6274396fbab9efe66f387886b7885fcf,MIN
.,0069737,2020-08-08 15:06:10.913249,6.85KB,2898c704ed9d8afe4d9d9e1dbdfa8d332723100028c3d8d73701aca600ab31e5,MIN
.,0082485,2020-08-08 15:07:51.841552,24.85KB,af68a9acc9a371b89f200d28a36b06c7db170bf691bbb9475e119b4e44692720,MIN
.,0082730,2020-08-08 15:07:54.758598,48.0KB,7ef73294ba96fe443b2a1d1b471c12739ebfd0b2838134d2864a267be89e4183,MIN
.,0085021,2020-08-08 15:08:29.917875,1.29KB,ef25290ca4230743647c5fd5dda209cadb4eed96173ab4cbe63ea994d06e1aaa,MIN
.,0089983,2020-08-08 15:09:49.188708,1.34KB,d3e25d1226d6f347de3c04cd006790dce97eaf2309caf2e6292ac94356ea3e5e,MIN
.,0090318,2020-08-08 15:09:51.588117,1.51KB,4209a0c661d7b2669ade61e9ad7c24e3d08be721c4435e9d54c86ed40c59dde0,MIN
.,0090558,2020-08-08 15:09:53.156303,3.29KB,0d819dae1e9baab9af3a3be51ecf4b4da3decf38326ca8c5a2e07e83d10150dd,MIN
.,0091340,2020-08-08 15:09:58.442451,0.3KB,229622884ac7548fbd3310b2f240b52e2b6fa11c2cb4dcc52a297404fcf875ba,MIN
.,0094784,2020-08-08 15:10:29.046189,1.08KB,f26e23209aa12fc7bedbae2ffc8714f4abc9abc60a6b58221372d1a0e0e88b39,MIN
.,0095533,2020-08-08 15:10:34.422695,2.28KB,32f156a7548e6904c562da2e1055db60aced38e5684b739f26d9878e6096daf8,MIN
.,0095534,2020-08-08 15:10:34.429707,1.29KB,5559db03db0f1e61a7c87f1ae51deba98945ab25d3d6a9c71353ff6aea3102aa,MIN
.,0095650,2020-08-08 15:10:35.284042,4.2KB,f7eac080f2e4debf02b6c562a2b30b8eb1d63084a9042fe6e244c21b9a53194c,MIN
.,0106307,2020-08-08 15:11:51.612289,38.3KB,cdb938a86dff31805fe974ebf2cce1bec14bc89732268be41a7dfe24cb7473e5,MIN
.,0107312,2020-08-08 15:11:59.179955,10.46KB,f9abae5aac604af2777c8333f21a442c86c4349386b5fcfc0c93b9d628cd1947,MIN
.,0107327,2020-08-08 15:11:59.454980,5.32KB,b14971529b21a3b161ad64dbb677f83cd01c6fa2556bc8020a1d3d2bfb20c0e9,MIN
.,0109099,2020-08-08 15:12:12.951496,7.96KB,6345b5b053f486a2a814a82bc4c196ef85101ed944bdde420078fc97aa68e536,MIN
.,0109122,2020-08-08 15:12:13.123496,22.43KB,e66a0a55c09256517f2aa30a02272abf21412ebd6a8000f0b5bf4c65923dee31,MIN
.,0109124,2020-08-08 15:12:13.137496,19.32KB,3c92c480ecd33469e4bdc190aaced0db28fed7a00cb8c37ac3f3b60cbf6ce3b4,MIN
.,0110902,2020-08-08 15:12:27.119539,8.52KB,c8779d7199cfd4278784d4514722de025a28e2375a08f12931bc430e6d992ce7,MIN
.,0125934,2020-08-08 15:14:41.386190,6.21KB,9b41e79b15b2ffcae1dec4b3c093c12101a59db61ce41fbd0773cbee640a977a,MIN
.,0125937,2020-08-08 15:14:41.405190,10.24KB,4a97c21f330b5d53399ed47b3c70a9e7d1d81c1b91143e15ae70cb3e2fee9ba0,MIN
.,0126568,2020-08-08 15:14:46.106480,1.16KB,affee8bbedf0d13f77ceb11dc0bd05aa39a90b5297d8a5fe8005fedc558a3b0e,MIN
.,0126576,2020-08-08 15:14:46.158479,3.63KB,08e1140cb4d17751831021c8f219c1604d318521746ae5ae369e97337f18e654,MIN
.,0134774,2020-08-08 15:15:45.211972,5.62KB,ed230ca9002004cfecc90560b7f987f72e5cd486f9bc9a490d4f5bf6eedba94a,MIN
.,0134776,2020-08-08 15:15:45.225971,1.17KB,6856d54883489e69fac1e5c765ae9d7e4e2408871db47a65ac8157c7c31f2691,MIN
.,0268780,2020-08-08 15:31:31.560592,3.74KB,852d3401f7aa57f0cd77afb25cdf34579d1a145c3e42c68859c4f3a89913b727,MIN
.,0340306,2020-08-08 15:40:07.487321,0.8KB,4a4da61f2493e0d7492f261b92b639667ec25be6f6c377b80f20c877346e3c67,MIN
.,0340361,2020-08-08 15:40:07.916321,8.27KB,987ab9b89826015273c08c3ba29e2e34a2436cb75eeeecdb2010b92488d905dc,MIN
.,0345699,2020-08-08 15:42:41.207159,3.21KB,8e617dc94efe3fdaf4e48d594ff0a42aa6526879ae5bce1d10f9810a3d680b35,MIN
.,0345882,2020-08-08 15:42:43.062649,3.27KB,949cac0d673daf6dd679f222bc03f096454f4c51012442fc582b456827ff67ce,MIN
.,0346252,2020-08-08 15:42:48.900589,3.27KB,0fe5a8dcaa9b3718ad4511b561729f570a7f70d687fe4b2d3491d6b66975136e,MIN
.,0376353,2020-08-08 15:50:39.870915,3.84KB,4d0d86390aa08d09c9e893bfbb41096d18379e97d24a715c984d25e7f03425ad,MIN
.,0376354,2020-08-08 15:50:39.876902,3.87KB,9e70b012362602ae9e51a3b169a07a1b01bcd1bdd81345cf6a1b2683c403f179,MIN
.,0376355,2020-08-08 15:50:39.890901,3.87KB,3d31df406a3df3e1615a5fd768a291519e29dc30fa1f447eb49f820414030294,MIN
.,0376360,2020-08-08 15:50:39.945915,3.82KB,d76eb938b998c85f8737ba4b11352fdfa99a9eedd72192f1037ddac0adc6d3a3,MIN
.,0402631,2020-08-08 15:54:57.486176,37.18KB,e829646c339d642ff5ec1585d550a0ee73496ae2bc5db347ec40cb5a7a2daadd,MIN
.,0402687,2020-08-08 15:54:57.967761,2.09KB,8535697a62fee95969b8fe66ca8ee5567b38a63e729d4934cf5dcaf880f0dab7,MIN
.,0403106,2020-08-08 15:55:01.805665,23.07KB,9d52c6806b4f768461e3c98c43a44588f52340845db10a2858b273cb10548da4,MIN
.,0406575,2020-08-08 15:55:28.341593,5.52KB,2931457d08d868256889b35083ab27e8231b20da657944233ca35ac33d7b7885,MIN
.,0428058,2020-08-08 15:58:11.078731,3.38KB,683c5ef9ca9394e1904453facb0bcfb8e7b75db83b1ef8e7d8bf6e3edf6c8d51,MIN
.,0429621,2020-08-08 15:58:22.595190,0.88KB,8ffbf001c53c2043158cd2f74d103b0f0216251289841b2877d49c47afc966fa,MIN
