path,filename,modified,size,sha256,root
.,0001205,2020-08-08 14:57:39.415127,48.02KB,802d22d8f3ee6f8a8480519a4ba0a21ae7e5a9665d76d5e684b14e1638b99009,NUS
.,0007670,2020-08-08 14:58:31.307811,1.21KB,bc375950edd7c23e35e8ff4ef6b49f28486e9604e30c0dc0a7ab36abf74aa204,NUS
.,0028655,2020-08-08 15:01:05.975857,48.02KB,84a014413717c4a59a2457293a1f6fbb47378ca2ab1d8b03a024248e2c06cf30,NUS
.,0082376,2020-08-08 15:07:48.464999,44.06KB,0e3075435a99b4b6630865c033159d8d5c9496029af33748db4cc62d3dbb9a6a,NUS
.,0082841,2020-08-08 15:07:55.469757,2.87KB,3f5788596ce31e57e3b40c750cf2b72702fb7f95c14f436bab20f7900942fb0f,NUS
.,0083002,2020-08-08 15:07:56.785820,48.0KB,92b82362bc65e11cedd276109add763e6bc43636e4f24aa17f85485b2bea460f,NUS
.,0083137,2020-08-08 15:07:57.714966,2.22KB,454eff720588abecaf930dabb076e8481d97f6d8dc5b04b6bc165666cff24b05,NUS
.,0083363,2020-08-08 15:08:00.536246,44.11KB,9c420d4f20ee26ca900efcfafa6a0fae209e0d76330d05dc53f2a394792dd3dd,NUS
.,0091758,2020-08-08 15:10:01.343247,3.61KB,378c712609cb718b3abf98d1c473aba694810ce0361e4dc0c454005f0751adf5,NUS
.,0095513,2020-08-08 15:10:34.292533,4.52KB,88b4674790f3dd679ce70deca45fd938301b18004e300590ab1ab76dc6d0af89,NUS
.,0095517,2020-08-08 15:10:34.318533,2.04KB,e9ea62a1bea0f4df9a5c3cbf02f80bd2f718e64ac40cd1f7d4003c97bc52c56c,NUS
.,0095542,2020-08-08 15:10:34.481707,2.13KB,08b760a2792469e697d5ab4162a2d95bfc944494997ef02baaa2b2bf2ad18b82,NUS
.,0245598,2020-08-08 15:28:48.074699,48.02KB,03ca2a7681f1a3d5ef4cce37d712c9b66cedb48a87928f0367e46171efb0ce3b,NUS
