path,filename,modified,size,sha256,root
.,0082306,2020-08-08 15:07:47.996820,11.06KB,0856d3bbf3a53ce3b55bb24929c5695d17ed76cc8267034f185c570dbf6ab477,OXY
.,0083013,2020-08-08 15:07:56.860820,11.07KB,0f6235fdcaf38a25f4ae0525039d3cbc3a070a91dff07651176a56926dfb3a92,OXY
.,0084237,2020-08-08 15:08:23.151180,6.58KB,f18209f7beb3d94865874694a5238fe75e02b885e6f12f94dff94f9ad9159a5d,OXY
.,0095245,2020-08-08 15:10:32.533360,2.1KB,8507ccef75fb596dec627915e14b95b96e2c87417b2fe94fe9f2434a7242fcc9,OXY
.,0464596,2020-08-08 16:02:51.665474,0.76KB,53566c2286be46bf28456cdb049443f9e9098575d09181325b437dccf9e38744,OXY
.,0603186,2020-08-08 16:24:55.524712,8.23KB,43396713055353a696149ecf51b2b9ce5cc1b8b5c9455a36f6d7c895c9b172bd,OXY
.,0603187,2020-08-08 16:24:55.531712,6.84KB,8769c5e7205475cff8d77b252501ad57e5225bdd5ea4dafbcd7319b1701e7309,OXY
.,0603189,2020-08-08 16:24:55.544712,6.84KB,ec2461a6a36a769424bf4e09ae303a8075494109fd7e7c7ca568e02d188bd256,OXY
.,0603190,2020-08-08 16:24:55.552710,6.83KB,09d667153ff157190b40d2cdf4eaf5b49fce229742a74efa21e77e7b869f345c,OXY
.,0603192,2020-08-08 16:24:55.589710,6.64KB,468a91bbff8e68206fb18f7ced0c79e3a3f6f7b1e476d656437f7d0c8e717f43,OXY
.,0631582,2020-08-08 16:29:16.269599,1.13KB,48f8cfdc53df7aa51e1847094a9e31834425fb4d7e79d8826ed15c8a47753d1c,OXY
.,0631584,2020-08-08 16:29:16.283613,3.21KB,2c7884cbff02a987f8f1be9fac671ef096006594f51365fe0bd7998f0006ec91,OXY
.,0655991,2020-08-08 16:32:19.099449,13.38KB,62fe0fb6bdf5bbbbdbf7d73a697d8f8ff13f67a01655e317dee5e81e8ad49901,OXY
.,0656027,2020-08-08 16:32:19.415716,0.86KB,0b7c0b253d7555741e8bcae4ddec6e9f634a20bc26acc321167c67583dfb5ee5,OXY
.,0839825,2020-08-08 16:55:30.298290,0.66KB,ce99f7c1aa5f8d1a7f3eab4d4d885d67933181581abcf64ef11e84f84152b935,OXY
