path,filename,modified,size,sha256,root
.,0134654,2020-08-08 15:15:44.080234,8.0KB,90ee3a13ff0dad63060857c7b39ee495f0cfd5877af1c59a6b46c8b871fbb6c7,TIS
.,0457161,2020-08-08 16:01:54.748884,24.44KB,6f928a8d02047b52d0e0a7bf645d7f37579a295ca804083b00adf1746b69173d,TIS
.,0637850,2020-08-08 16:30:05.362329,48.07KB,442be5a6004954ffe325416aa4d653c34761389ca414a167fb404e075d5c71ca,TIS
.,0725268,2020-08-08 16:40:59.754640,48.07KB,14883576f530c93c522dd1e2425bdf07ac4da8f043b17c737d7ee10f5beaac7a,TIS
.,0812692,2020-08-08 16:51:59.499361,2.34KB,f855ee66176a2ba692e7bccc26a6f19a667f0f1291ade4bb15b218b673559be6,TIS
.,0812878,2020-08-08 16:52:00.851535,2.05KB,6a8bebafe2feb3f82b2203f562d68bbcae9129d4dcf163df8811e91493fe50c7,TIS
.,0812886,2020-08-08 16:52:00.909535,2.33KB,0fdefdfcac7bc361e5781cfba757b49e7c0b161ebbac67e3c88e9a4fe20295e2,TIS
.,0812895,2020-08-08 16:52:00.974534,2.05KB,ccc4a3cc63f6131c7342bae1f3b6407abdd563b957cd7c1c7dc02a333e6411b3,TIS
.,0812916,2020-08-08 16:52:01.124534,4.38KB,38d702a55c83e1240b11b657fbdeac97a1688bde8119e34d27e612c50eadc4e5,TIS
.,0812917,2020-08-08 16:52:01.131534,2.21KB,9b7a70939b50a014cc78a915b3b33cc0d97ff860fecb28df4c4067de639b375e,TIS
.,0812918,2020-08-08 16:52:01.138535,2.34KB,c6174d8cf6b7bc2785af39266ae05dc84ded3ed12be74b3c4d0e2c85f8dea366,TIS
.,0812919,2020-08-08 16:52:01.145534,2.12KB,1c58225a42468f836c84fa00cce17b97372770e017591993a90b0146303a1a06,TIS
.,0812935,2020-08-08 16:52:01.259535,2.36KB,4c1fb3c305ac0e8f27a71c793ed42d34578a973537aeab4362fe47f0ca37aa2a,TIS
.,0812998,2020-08-08 16:52:01.712534,2.12KB,0bc83ffbd78674797f0637ed663ef82d56758767c680d74b4bce2e824feb3632,TIS
.,0813002,2020-08-08 16:52:01.741534,2.41KB,249ce6939f7234c7e2dc8a8bb1af8922af0d08dabf31026c4e83d12431b29eb1,TIS
.,0813021,2020-08-08 16:52:01.878534,3.53KB,2ba30af1bdd839c0481a712bb9ab225d9a5dbb1aaf2ceac03a7316d2c7dffc3f,TIS
.,0813039,2020-08-08 16:52:02.009534,2.26KB,aea7c3e7afa816b9d455c79d837c6349f5aa1a3492a6c6deb9db33df8d45d8c8,TIS
.,0813104,2020-08-08 16:52:02.482704,3.69KB,bb9cd5c71b73ee1ea794d030a2f0e4d67951c4d84ff06d9d45fe348a347f1008,TIS
.,0813177,2020-08-08 16:52:03.023701,2.87KB,b3ba2d406afcf3682652dd200148313c5782e52ec1054343e5c725df7b7de5c7,TIS
.,0813193,2020-08-08 16:52:03.138701,2.12KB,448accedb1ed6159df0d21cb4c60055a17eb56930d8e32e4b2884e9cb41b8adb,TIS
.,0813304,2020-08-08 16:52:04.093984,2.51KB,87b742ece219cef32491be0edd9caa3f89c17c95c8570cf5a52295457c25ba9a,TIS
