path,filename,modified,size,sha256,root
.,0427680,2020-08-08 15:58:08.404428,1039.04KB,7befdff74cf03ce0e8f799d7b29b0774901a4d8ef50755b0837d531dda1b13f4,ags-
.,0430738,2020-08-08 15:58:30.845767,660.28KB,bf49eaacce394bf824df0c4e9a2097ca961187a54606f5648be7ce3682ccdb55,ags-
.,0430839,2020-08-08 15:58:31.623962,639.3KB,b1388d07a550805fac46599da8c8de505207805b33d81a3f92cc21f6e89fa125,ags-
.,0431855,2020-08-08 15:58:39.415588,1.14KB,6886b190040ad5f1dea59b70991c6c0a5a05bdd3c1517cf4c613fdd8ddb68754,ags-
.,0432269,2020-08-08 15:58:42.394913,6.47KB,4f21f4cf80d6b225e8ac256faa62266b2a525868b398897ecb501858f648fdd1,ags-
.,0444855,2020-08-08 16:00:17.284022,656.33KB,8a24a6a61384641970b962e9ed1e802ebca956370845865791feb07d44daeaf5,ags-
.,0447444,2020-08-08 16:00:39.181557,393.65KB,672c76080a7f0c5840af2761f43d469b5c1065f80aa26733e396d8b894c83213,ags-
.,0455575,2020-08-08 16:01:42.325238,664.28KB,3d06a34542367323004c8a2bdf59d856a67d2f8c9dee050d6b0d79ef31304364,ags-
.,0455782,2020-08-08 16:01:44.138957,162.87KB,a4489eda620320fcdc44668920f8c03cb65a094aafe411bc007c0c967da7123c,ags-
.,0463162,2020-08-08 16:02:40.931891,75.53KB,0e7c349f2fd8bc69f2c94715e6e55c5acc3b4283f939006900068d7d5ea81e40,ags-
.,0470087,2020-08-08 16:03:33.874652,861.1KB,b25674e06dbca1f3c891875add1110031d830cd1ce1df2040c7c564ef1717711,ags-
.,0527160,2020-08-08 16:10:50.121673,167.01KB,fdefab9af932adbeb497fa0f4e7be9ec99f7cbc7c4e3af59fc88aa401907a912,ags-
.,0540022,2020-08-08 16:12:31.759013,192.63KB,65cd9e304546f266d55bec28c75b6aff0d547a09128d336a413d2d793e352c38,ags-
