path,filename,modified,size,sha256,root
chip\altera\BroadOn_FPGA,BroadOn_FPGA.qpf,2020-10-06 13:40:38.200145,0.93KB,56985e204751d59fbb7c7270ab8a33ab2587f0fb31737bd19bfa09d0867ec8ad,hw
chip\altera\BroadOn_FPGA,BroadOn_FPGA.qsf,2020-10-06 13:40:38.203145,112.44KB,35bf12f2446cd73854fe7d94ab97d399b1e05968b181f5a60481651b916371e2,hw
chip\altera\BroadOn_FPGA,BroadOn_FPGA_assignment_defaults.qdf,2020-10-06 13:40:38.203145,33.68KB,ead08d332858e591191747f6a48ecd04fea9140bd69b50b65bdc09a05c4bbaa5,hw
chip\formal,ANTENNA.v,2020-10-06 13:40:38.203145,0.1KB,2b60d76ffef6768fd3a3e4167b4004a0cdbb6031d20de8c08414937071bdd333,hw
chip\formal,gate2gate.do,2020-10-06 13:40:38.209146,4.79KB,0b6a5c7c4a090ea7c01bd3769019173b75ab098fe80892386480b9dfdd760ebc,hw
chip\formal,Makefile,2020-10-06 13:40:38.204146,0.88KB,5b9130f30e997eade7934ac7c4924a58b553b4f5627871c51b670376ffc1753c,hw
chip\formal,rtl2gates.do,2020-10-06 13:40:38.209146,5.85KB,197560daf7ceff00d8a25848655e079ed90488fdf8cf33bd7d22b1ea0e34e8d4,hw
chip\formal,rtl2pnrgates.do,2020-10-06 13:40:38.209146,6.72KB,a48123872c73b2fdaaa15a9e1489bb244839fa1df75af57dbea52ca50fd03e40,hw
chip\formal,rtl2pnrgates_bscan_bypass.do,2020-10-06 13:40:38.219145,7.57KB,6f36ea07587081cb584dc856966c44fc91f10c853eefb02607631a7d1776b437,hw
chip\formal,rtl2pnrgates_bscan_idcode.do,2020-10-06 13:40:38.220145,7.87KB,66adf7a1b2f34184bf959ccdc830d33bdf3a776c242f47e4745b13f5bf03d11b,hw
chip\formal,rtl2pnrgates_normal_bypass.do,2020-10-06 13:40:38.220145,7.89KB,b2d913402ce44903250eb3c3bd599de6b00d3be68f9519b8b6ebec5fadcbf02b,hw
chip\formal,rtl2pnrgates_normal_idcode.do,2020-10-06 13:40:38.220145,7.89KB,b5f2fc499e564f2ec35070d28894975dd351b7e7dac01ca9c6ef3f1e5e0fa93b,hw
chip\formal,rtl2pnrgates_test_bypass.do,2020-10-06 13:40:38.220145,7.67KB,0e3542d1d6bf89946c1426916e7168b8319b5361e07213762c4f669efffe224c,hw
chip\formal,rtl2pnrgates_test_idcode.do,2020-10-06 13:40:38.220145,7.97KB,f6b480184162a7391448edd5eb83d208a2e279b9ca5330c2781ac6c4b912d08a,hw
chip\guc,Makefile,2020-10-06 13:40:38.224145,3.44KB,a634e81c6796335f59038a7838e7624a995f5109120826c1b273677de8f29dc3,hw
chip\guc,post_apr_netlist-0216_eco.v,2020-10-06 13:40:38.503958,5750.68KB,ede6ff071ad6b91fe5e477d83363a30d005f95569e37b8b4ebcaab335c1deab7,hw
chip\guc,post_apr_netlist-1211.v.eco,2020-10-06 13:40:38.511957,5754.4KB,e450120b93f1faefc4e5f9921bbaee5bcb00fe43132b0fb83727a7b8965d5a5d,hw
chip\guc,post_apr_netlist-1213.v,2020-10-06 13:40:38.518958,5750.19KB,161ffd54bc298954d40043a1daf0db5aefadef5c4a7109329410195d4f2025a9,hw
chip\guc,post_apr_netlist-1215.sdf,2020-10-06 13:40:38.615958,28655.61KB,b79f5d816e9bf09d8e4b2bfe548574d6469368f8411a91d4545d9ce5bf8d8326,hw
chip\guc,post_apr_netlist-1215.v,2020-10-06 13:40:38.708958,5750.57KB,ade5b606e4f523fa6020d6298bef42bb3e65fc6202371f18019cb377e90b9553,hw
chip\guc,ReleaseNotes.txt,2020-10-06 13:40:38.225146,13.94KB,242acc96f33f3b5d02166bb4340f4fd1027dc6e9c750535f80dd6ba2e6c30d8f,hw
chip\guc,rpt.spare_cells,2020-10-06 13:40:38.714958,28.75KB,da604b8646e2d399581eb2b00b49b652e05bfd76662b9db382aa78b1292acf8a,hw
chip\guc,rpt.spare_modules,2020-10-06 13:40:38.714958,1.71KB,848ad9aa07262c542dfc90f3e4b38d2c8d278369ba13ca1b84b22bc373d0889c,hw
chip\guc,sc.cfg,2020-10-06 13:40:38.714958,0.4KB,b8e64ae3ff5dc273235adf139053585c5d603c2030489c876231a861c118c600,hw
chip\guc,sc.script,2020-10-06 13:40:38.715958,248.35KB,c0849d4feb8ec2098590b4114a7cbb357b79ec3ece544bfc89cc6eda32cb38d5,hw
chip\guc,sc.sdc,2020-10-06 13:40:38.715958,161.75KB,d24bc48d904366cab90a5a0125d6b3fcbe64a263b03d8e4d233821a299440ea9,hw
chip\guc,sc.sdc.ff,2020-10-06 13:40:38.716959,161.72KB,ff6f73fdd2ce96460c0cdef451bee2bf47010bdedb906a3af1d0d4e84986309d,hw
chip\guc,sc.sdc.ff18,2020-10-06 13:40:38.716959,164.21KB,fcf557eb73756620433f6cc38e4739ba9f6238193a4a74c60b88c4c03aa9aa45,hw
chip\guc,sc.sdc.ff25,2020-10-06 13:40:38.716959,164.21KB,c4b9cee8f926886147d6b82428fdfee6b406fc568d9b2024405adc01e829579c,hw
chip\guc,sc.sdc.ss,2020-10-06 13:40:38.717959,161.75KB,b15d4a774841765387bd9cd04b3a098d3c117cfe62780ec8112aa57a2e173f05,hw
chip\guc,sc.sdc.ss18max,2020-10-06 13:40:38.717959,162.18KB,deff6362120bd451cefd8246623fa112b68b1e58e036876b382e07aa5edd2194,hw
chip\guc,sc.sdc.ss18min,2020-10-06 13:40:38.718957,162.14KB,ba56105e7a4f2c1c57140ae8655d9b11f86b90d68e95937c6c8cb92f6d8ebfd9,hw
chip\guc,sc.sdc.ss25max,2020-10-06 13:40:38.718957,162.15KB,c24aa97e0c2b0c2dc9f57b6ac8ba21618de960f8b002279dc26fe5f381f80cac,hw
chip\guc,sc.sdc.ss25min,2020-10-06 13:40:38.719958,162.14KB,d1db703fa505efb0dac1fbea78b0474098c22bf2f87ce82146815cf558eac4eb,hw
chip\guc,sc.v,2020-10-06 13:40:38.736959,2758.27KB,a420288707c190ead2f08da9515abbcc4b6eac1ce4a9bff8317806b339d54026,hw
chip\guc,sc_apr_req.txt,2020-10-06 13:40:38.738958,6.61KB,8ab269e49a0de6717ccf871efe7961112de93b9bc8e7f7ea547fbea306f553fe,hw
chip\guc,sc_clock_tree.pdf,2020-10-06 13:40:38.738958,27.61KB,8d0dd044ede093de3758da9caf65d3f07a245eaa01a669b3a8c7414d5edd5cbd,hw
chip\guc,sc_dft_req.txt,2020-10-06 13:40:38.738958,9.81KB,df1f1b3208cd9bd925f1d307ef60b63bbee01d6da4e76161b1aea628f226cfe4,hw
chip\guc,sc_pin.list,2020-10-06 13:40:38.738958,11.24KB,2d3fa97bea9b81009bcfd374aafeb57cdbcab406dc85864d214aadc61f9d7832,hw
chip\guc,sc_pin.list.xls,2020-10-06 13:40:38.740244,71.5KB,b39cc6eabc8c4e5103c8a6dab37b254d5ab55d4dfb160e726a64c9766484952a,hw
